Snow ratio,Log likelihood,Error std,O18 lapse rate
0.67,-652126.22,0.49,0.0
0.74,-653026.64,0.49,0.0
0.66,-653106.72,0.49,-0.0
0.66,-653157.64,0.49,0.0
0.47,-653365.42,0.49,-0.0
0.68,-653684.63,0.49,-0.0
0.45,-653778.83,0.49,-0.0
0.45,-653814.79,0.49,-0.0
0.51,-653985.77,0.49,-0.0
0.59,-654347.37,0.49,-0.0
0.67,-655087.58,0.49,0.0
0.73,-655331.88,0.49,0.0
0.66,-655401.79,0.49,0.0
0.58,-655450.52,0.49,-0.0
0.51,-655978.51,0.49,-0.0
0.65,-656040.23,0.49,-0.0
0.64,-657093.31,0.49,0.0
0.48,-657860.45,0.49,-0.0
0.69,-658153.37,0.49,-0.0
0.69,-659203.33,0.49,0.0
0.72,-660743.33,0.49,0.0
0.71,-660851.91,0.49,-0.0
0.74,-661065.27,0.49,0.0
0.44,-661699.01,0.49,-0.0
0.49,-662047.23,0.49,-0.0
0.52,-662167.22,0.49,-0.0
0.64,-662899.47,0.49,0.0
0.48,-663022.8,0.49,-0.0
0.74,-663232.76,0.49,0.0
0.56,-663541.18,0.49,0.0
0.59,-663584.21,0.49,-0.0
0.64,-663646.72,0.49,-0.0
0.67,-664027.81,0.49,-0.0
0.64,-664153.7,0.49,0.0
0.49,-664189.78,0.49,-0.0
0.69,-664844.37,0.49,-0.0
0.66,-666002.05,0.49,0.0
0.62,-666046.71,0.49,-0.0
0.63,-666412.05,0.49,0.0
0.45,-666928.75,0.49,-0.0
0.68,-667047.82,0.49,0.0
0.71,-668383.7,0.49,0.0
0.54,-669946.93,0.49,-0.0
0.43,-671409.19,0.49,-0.0
0.74,-671968.97,0.49,0.0
0.65,-672068.26,0.49,-0.0
0.45,-673856.4,0.49,-0.0
0.51,-674197.21,0.49,-0.0
0.53,-674469.31,0.49,-0.0
0.47,-674515.35,0.49,-0.0
0.65,-675258.22,0.49,0.0
0.67,-676996.96,0.49,-0.0
0.56,-677035.12,0.49,-0.0
0.76,-677247.68,0.49,0.0
0.66,-677780.7,0.49,-0.0
0.75,-677916.53,0.49,0.0
0.55,-678138.46,0.49,-0.0
0.75,-678192.59,0.49,0.0
0.76,-678584.95,0.49,0.0
0.59,-678630.59,0.49,-0.0
0.62,-679647.42,0.49,0.0
0.6,-680037.96,0.49,0.0
0.42,-681203.83,0.49,-0.0
0.73,-681700.51,0.49,0.0
0.47,-681837.62,0.49,-0.0
0.52,-681872.26,0.49,-0.0
0.56,-682117.39,0.49,0.0
0.46,-682121.82,0.49,-0.0
0.75,-682150.98,0.49,0.0
0.74,-682697.75,0.49,0.0
0.5,-682742.9,0.49,-0.0
0.7,-682772.97,0.49,0.0
0.42,-683065.86,0.49,-0.0
0.42,-683174.53,0.49,-0.0
0.77,-683565.16,0.49,0.0
0.47,-684237.99,0.49,-0.0
0.48,-684972.92,0.49,-0.0
0.6,-685239.66,0.49,0.0
0.54,-685527.93,0.49,-0.0
0.64,-685927.9,0.49,-0.0
0.42,-685937.97,0.49,-0.0
0.42,-686271.3,0.49,-0.0
0.76,-686387.16,0.49,0.0
0.65,-686504.0,0.49,-0.0
0.67,-686646.76,0.49,0.0
0.73,-686689.96,0.49,0.0
0.41,-687321.94,0.49,-0.0
0.43,-687666.03,0.49,-0.0
0.73,-687999.89,0.49,0.0
0.49,-688500.03,0.49,-0.0
