Snow ratio,Log likelihood,Error std,H2 lapse rate
0.48,-1088541.86,3.04,-0.01
0.6,-1088560.44,3.04,-0.01
0.65,-1089013.29,3.04,-0.01
0.42,-1089647.14,3.04,-0.03
0.49,-1089979.31,3.04,-0.01
0.67,-1090331.24,3.04,-0.0
0.55,-1091046.23,3.04,-0.02
0.69,-1091892.96,3.04,0.0
0.39,-1091895.5,3.04,-0.02
0.52,-1092091.14,3.04,-0.02
0.63,-1092405.22,3.04,-0.01
0.44,-1093315.44,3.04,-0.01
0.56,-1094347.69,3.04,0.0
0.6,-1094417.64,3.04,-0.01
0.56,-1095026.22,3.04,0.0
0.44,-1096048.9,3.04,-0.03
0.6,-1097380.24,3.04,0.0
0.63,-1099040.44,3.04,-0.01
0.69,-1099330.57,3.04,0.0
0.69,-1099358.23,3.04,0.0
0.69,-1099944.81,3.04,0.01
0.57,-1099946.67,3.04,0.0
0.56,-1102760.11,3.04,0.0
0.41,-1104407.55,3.04,-0.03
0.47,-1105151.09,3.04,-0.03
0.68,-1105849.85,3.04,-0.0
0.67,-1105997.88,3.04,0.01
0.62,-1108034.76,3.04,0.01
0.66,-1109134.16,3.04,-0.01
0.68,-1109940.72,3.04,0.01
0.68,-1111306.19,3.04,-0.0
0.67,-1112354.3,3.04,0.01
0.45,-1112377.69,3.04,-0.03
0.4,-1112479.71,3.04,-0.03
0.53,-1113474.94,3.04,-0.02
0.65,-1113638.05,3.04,-0.01
0.7,-1114031.67,3.04,0.0
0.62,-1114847.71,3.04,-0.01
0.51,-1115061.54,3.04,-0.0
0.7,-1115078.26,3.04,0.0
0.63,-1115489.63,3.04,-0.01
0.43,-1117282.32,3.04,-0.03
0.62,-1117648.54,3.04,0.01
0.45,-1118134.24,3.04,-0.03
0.4,-1118649.6,3.04,-0.02
0.49,-1119636.57,3.04,-0.02
0.37,-1120375.78,3.04,-0.03
0.43,-1120699.48,3.04,-0.03
0.39,-1121211.77,3.04,-0.03
0.38,-1121599.85,3.04,-0.02
0.7,-1121786.5,3.04,0.01
0.67,-1122546.62,3.04,-0.01
0.43,-1123473.24,3.04,-0.03
0.38,-1124247.38,3.04,-0.03
0.49,-1124874.04,3.04,-0.0
0.37,-1125345.73,3.04,-0.02
0.69,-1125789.67,3.04,-0.0
0.39,-1126188.98,3.04,-0.02
0.43,-1127276.49,3.04,-0.01
0.57,-1127389.7,3.04,-0.02
0.52,-1128276.67,3.04,-0.02
0.45,-1129109.91,3.04,-0.01
0.51,-1129232.13,3.04,-0.02
0.54,-1129235.94,3.04,-0.02
0.64,-1129361.11,3.04,-0.01
0.61,-1129611.01,3.04,0.01
0.71,-1129666.98,3.04,0.01
0.71,-1129892.27,3.04,0.0
0.67,-1130366.69,3.04,0.01
0.43,-1130488.33,3.04,-0.01
0.41,-1130568.24,3.04,-0.03
0.53,-1130591.99,3.04,-0.0
0.53,-1130628.88,3.04,-0.0
0.55,-1130751.72,3.04,-0.02
0.42,-1132123.35,3.04,-0.03
0.65,-1132269.0,3.04,-0.01
0.5,-1132636.92,3.04,-0.0
0.57,-1133045.53,3.04,-0.02
0.39,-1134361.16,3.04,-0.02
0.48,-1134743.39,3.04,-0.01
0.51,-1135038.35,3.04,-0.0
0.71,-1135332.07,3.04,0.0
0.69,-1135363.91,3.04,-0.0
0.61,-1135446.31,3.04,-0.01
0.42,-1135531.49,3.04,-0.01
0.71,-1135664.71,3.04,0.0
0.36,-1135679.86,3.04,-0.03
0.69,-1136120.51,3.04,0.01
0.42,-1136680.59,3.04,-0.01
0.41,-1137155.18,3.04,-0.03
0.4,-1138236.63,3.04,-0.02
0.42,-1138242.25,3.04,-0.03
0.55,-1138374.39,3.04,-0.02
0.45,-1138503.6,3.04,-0.03
0.39,-1138522.16,3.04,-0.02
0.37,-1139142.28,3.04,-0.02
0.43,-1139195.23,3.04,-0.01
0.42,-1139406.46,3.04,-0.03
0.5,-1139952.65,3.04,-0.0
0.4,-1142107.67,3.04,-0.03
0.67,-1143704.6,3.04,0.01
0.36,-1144512.76,3.04,-0.03
0.48,-1145763.03,3.04,-0.0
0.51,-1145776.72,3.04,-0.02
0.72,-1147187.09,3.04,0.01
0.7,-1148508.54,3.04,0.01
0.36,-1149145.02,3.04,-0.02
0.72,-1149296.88,3.04,0.01
0.38,-1149364.59,3.04,-0.02
0.38,-1149628.84,3.04,-0.02
0.73,-1150945.62,3.04,0.01
0.35,-1152187.44,3.04,-0.02
0.36,-1152383.57,3.04,-0.02
0.72,-1153061.54,3.04,0.0
0.36,-1153421.97,3.04,-0.02
0.36,-1154260.63,3.04,-0.02
0.52,-1154272.4,3.04,-0.02
0.58,-1154997.17,3.04,-0.02
0.44,-1155211.82,3.04,-0.01
0.42,-1155518.96,3.04,-0.03
0.34,-1156418.52,3.04,-0.03
0.37,-1157133.15,3.04,-0.02
0.4,-1157797.47,3.04,-0.03
0.35,-1157921.06,3.04,-0.02
0.64,-1158697.04,3.04,-0.01
0.52,-1158762.94,3.04,-0.0
0.34,-1158925.69,3.04,-0.03
0.5,-1159352.87,3.04,-0.0
0.37,-1161017.29,3.04,-0.02
0.34,-1161164.15,3.04,-0.03
0.61,-1162291.53,3.04,0.01
0.56,-1162714.02,3.04,0.0
0.34,-1164827.35,3.04,-0.03
0.39,-1165506.54,3.04,-0.03
0.73,-1166280.49,3.04,0.01
0.59,-1167224.38,3.04,-0.02
0.73,-1167290.4,3.04,0.01
0.53,-1168957.8,3.04,-0.02
0.49,-1169015.89,3.04,-0.0
0.72,-1169689.27,3.04,-0.0
0.66,-1171068.14,3.04,-0.01
0.34,-1171552.01,3.04,-0.03
0.7,-1172503.66,3.04,-0.0
0.71,-1172545.81,3.04,0.01
0.34,-1172590.99,3.04,-0.02
0.33,-1172655.23,3.04,-0.03
0.45,-1172892.95,3.04,-0.01
0.34,-1172931.46,3.04,-0.03
0.47,-1173457.09,3.04,-0.03
0.72,-1176583.46,3.04,-0.0
0.54,-1176697.55,3.04,-0.02
0.73,-1177215.23,3.04,0.01
0.74,-1177669.4,3.04,0.01
0.57,-1177722.24,3.04,-0.02
0.38,-1179350.22,3.04,-0.02
0.37,-1179850.07,3.04,-0.03
0.42,-1180533.58,3.04,-0.03
0.38,-1181483.43,3.04,-0.02
0.5,-1182598.11,3.04,-0.03
0.69,-1182997.33,3.04,-0.01
0.34,-1183429.29,3.04,-0.03
0.74,-1184093.51,3.04,0.01
0.63,-1184818.61,3.04,-0.01
0.73,-1185363.97,3.04,0.0
0.34,-1185523.41,3.04,-0.02
0.5,-1187280.22,3.04,-0.03
0.57,-1187948.18,3.04,-0.02
0.33,-1188698.28,3.04,-0.03
0.33,-1188867.47,3.04,-0.03
0.4,-1189815.19,3.04,-0.01
0.42,-1191770.36,3.04,-0.03
0.7,-1192955.24,3.04,0.01
0.57,-1193093.79,3.04,-0.02
0.67,-1193382.25,3.04,-0.01
0.56,-1193468.53,3.04,0.0
0.34,-1194245.64,3.04,-0.03
0.64,-1194496.19,3.04,0.01
0.59,-1194527.48,3.04,-0.02
0.46,-1195706.26,3.04,-0.01
0.33,-1195813.46,3.04,-0.03
0.47,-1195988.88,3.04,-0.0
0.32,-1197350.83,3.04,-0.03
0.51,-1197873.91,3.04,-0.03
0.73,-1199108.49,3.04,-0.0
0.62,-1200464.02,3.04,-0.02
0.71,-1200993.99,3.04,0.01
0.67,-1201767.08,3.04,0.01
0.32,-1201991.24,3.04,-0.03
0.63,-1202734.85,3.04,-0.01
0.34,-1203416.62,3.04,-0.03
0.35,-1203591.83,3.04,-0.02
0.47,-1205845.23,3.04,-0.03
0.7,-1205964.27,3.04,-0.0
0.46,-1206147.74,3.04,-0.0
0.56,-1206152.51,3.04,-0.02
0.7,-1206166.23,3.04,-0.0
0.45,-1207411.37,3.04,-0.03
0.32,-1208995.52,3.04,-0.03
0.36,-1210662.85,3.04,-0.02
0.42,-1210918.03,3.04,-0.03
0.5,-1211903.58,3.04,-0.0
0.51,-1212080.28,3.04,0.0
0.43,-1212697.24,3.04,-0.03
0.58,-1212708.91,3.04,0.01
0.74,-1212776.27,3.04,0.0
0.76,-1213034.17,3.04,0.01
0.69,-1213180.09,3.04,0.01
0.41,-1213395.51,3.04,-0.03
0.32,-1213537.6,3.04,-0.03
0.62,-1213994.91,3.04,-0.02
0.75,-1214270.73,3.04,0.01
0.76,-1214347.2,3.04,0.01
0.31,-1214893.46,3.04,-0.03
0.73,-1215923.08,3.04,0.01
0.56,-1216707.59,3.04,-0.02
0.41,-1217299.77,3.04,-0.01
0.7,-1219320.76,3.04,-0.01
0.39,-1219770.62,3.04,-0.03
0.42,-1220062.49,3.04,-0.03
0.32,-1220859.24,3.04,-0.03
0.47,-1221173.1,3.04,-0.03
0.6,-1221354.8,3.04,-0.02
0.31,-1221566.03,3.04,-0.03
0.33,-1222000.84,3.04,-0.03
0.76,-1222340.41,3.04,0.01
0.73,-1222941.5,3.04,0.01
0.52,-1225024.51,3.04,0.0
0.4,-1225068.19,3.04,-0.01
0.57,-1225422.85,3.04,-0.02
0.69,-1225775.86,3.04,-0.01
0.74,-1225828.43,3.04,0.0
0.74,-1226511.7,3.04,0.0
0.61,-1226850.79,3.04,-0.02
0.31,-1227296.62,3.04,-0.03
0.48,-1228167.1,3.04,-0.03
0.33,-1228670.78,3.04,-0.02
0.42,-1229181.93,3.04,-0.03
0.31,-1230218.88,3.04,-0.03
0.76,-1230425.84,3.04,0.01
0.41,-1231392.49,3.04,-0.01
0.48,-1231400.11,3.04,-0.0
0.33,-1233349.97,3.04,-0.02
0.72,-1233951.05,3.04,-0.0
0.31,-1235185.01,3.04,-0.04
0.75,-1235613.05,3.04,0.0
0.77,-1235932.98,3.04,0.01
0.45,-1237054.93,3.04,-0.01
0.76,-1238218.37,3.04,0.01
0.7,-1239340.17,3.04,0.01
0.39,-1240379.82,3.04,-0.01
0.56,-1240490.21,3.04,-0.02
0.43,-1240526.21,3.04,-0.03
0.77,-1241033.46,3.04,0.01
0.77,-1241451.15,3.04,0.01
0.59,-1242906.2,3.04,0.01
0.74,-1244485.21,3.04,0.01
0.6,-1244844.29,3.04,-0.02
0.76,-1245529.96,3.04,0.01
0.32,-1246188.54,3.04,-0.02
0.53,-1246291.27,3.04,0.0
0.61,-1246730.27,3.04,-0.02
0.35,-1247192.54,3.04,-0.02
0.38,-1247299.28,3.04,-0.04
0.5,-1247769.5,3.04,0.0
0.67,-1247934.12,3.04,-0.01
0.76,-1248008.34,3.04,0.0
0.77,-1248318.07,3.04,0.01
0.72,-1248491.67,3.04,0.01
0.31,-1248626.66,3.04,-0.04
0.45,-1248707.7,3.04,-0.0
0.6,-1249113.67,3.04,-0.02
0.54,-1249349.87,3.04,0.0
0.31,-1249759.33,3.04,-0.04
0.75,-1249836.02,3.04,0.0
0.67,-1250405.66,3.04,-0.01
0.3,-1251333.18,3.04,-0.03
0.38,-1251338.55,3.04,-0.01
0.76,-1251374.6,3.04,0.0
0.35,-1251831.89,3.04,-0.02
0.74,-1252995.71,3.04,-0.0
0.31,-1254314.32,3.04,-0.04
0.71,-1254491.96,3.04,0.01
0.44,-1254533.12,3.04,-0.01
0.76,-1254647.82,3.04,0.0
0.4,-1254699.35,3.04,-0.01
0.34,-1257641.47,3.04,-0.02
0.65,-1258856.44,3.04,-0.01
0.66,-1258974.1,3.04,-0.01
0.29,-1259128.95,3.04,-0.03
0.76,-1259674.5,3.04,0.0
0.63,-1260066.49,3.04,0.01
0.44,-1260131.15,3.04,-0.01
0.78,-1260141.44,3.04,0.01
0.43,-1260382.47,3.04,-0.03
0.29,-1260690.88,3.04,-0.03
0.45,-1261154.67,3.04,-0.0
0.29,-1261348.35,3.04,-0.03
0.66,-1262329.6,3.04,0.01
0.73,-1263356.33,3.04,0.02
0.67,-1264143.66,3.04,0.01
0.69,-1265754.96,3.04,0.01
0.68,-1265887.6,3.04,-0.01
0.73,-1266313.14,3.04,-0.0
0.31,-1266518.56,3.04,-0.02
0.4,-1267797.82,3.04,-0.01
0.71,-1268086.8,3.04,-0.01
0.41,-1270404.49,3.04,-0.01
0.28,-1270618.2,3.04,-0.03
0.77,-1271294.33,3.04,0.0
0.58,-1271581.16,3.04,0.01
0.67,-1274282.35,3.04,0.01
0.32,-1274287.2,3.04,-0.04
0.76,-1274388.35,3.04,0.0
0.28,-1274863.89,3.04,-0.03
0.28,-1275639.11,3.04,-0.04
0.77,-1276330.48,3.04,0.01
0.45,-1277136.36,3.04,-0.0
0.52,-1277706.23,3.04,-0.03
0.59,-1278781.35,3.04,0.01
0.69,-1279162.79,3.04,0.02
0.38,-1279419.35,3.04,-0.04
0.5,-1281306.44,3.04,0.0
0.3,-1281447.12,3.04,-0.03
0.33,-1281994.61,3.04,-0.04
0.61,-1282255.02,3.04,-0.02
0.75,-1282399.4,3.04,-0.0
0.31,-1283467.77,3.04,-0.02
0.79,-1283762.37,3.04,0.01
0.67,-1284472.07,3.04,0.01
0.29,-1285060.88,3.04,-0.03
0.28,-1287130.38,3.04,-0.03
0.56,-1287261.04,3.04,-0.02
0.79,-1288049.85,3.04,0.01
0.28,-1289076.22,3.04,-0.03
0.32,-1289475.17,3.04,-0.04
0.38,-1289875.1,3.04,-0.01
0.77,-1290040.98,3.04,0.0
0.64,-1290240.45,3.04,0.01
0.6,-1290938.33,3.04,0.01
0.37,-1291423.11,3.04,-0.01
0.49,-1292615.48,3.04,-0.03
0.28,-1293381.88,3.04,-0.03
0.68,-1293927.81,3.04,0.01
0.61,-1294447.87,3.04,0.01
0.38,-1296637.19,3.04,-0.04
0.53,-1296708.52,3.04,0.0
0.32,-1298327.45,3.04,-0.02
0.68,-1299480.12,3.04,-0.01
0.43,-1300366.29,3.04,-0.03
0.37,-1300960.61,3.04,-0.04
0.27,-1301673.22,3.04,-0.04
0.29,-1301862.2,3.04,-0.03
0.39,-1302217.84,3.04,-0.04
0.47,-1302616.0,3.04,-0.03
0.61,-1303131.71,3.04,-0.02
0.37,-1303445.95,3.04,-0.01
0.68,-1303908.91,3.04,0.02
0.78,-1304038.27,3.04,0.02
0.29,-1306425.85,3.04,-0.04
0.41,-1306627.84,3.04,-0.01
0.68,-1307065.43,3.04,-0.01
0.8,-1307714.03,3.04,0.01
0.54,-1308373.75,3.04,-0.03
0.27,-1309904.09,3.04,-0.04
0.61,-1309914.76,3.04,-0.02
0.27,-1310316.04,3.04,-0.04
0.8,-1310869.42,3.04,0.01
0.55,-1310870.41,3.04,0.01
0.78,-1310917.72,3.04,0.01
0.73,-1311073.63,3.04,-0.0
0.34,-1312421.31,3.04,-0.04
0.26,-1313482.07,3.04,-0.03
0.31,-1313698.29,3.04,-0.02
0.26,-1314758.49,3.04,-0.04
0.28,-1314827.02,3.04,-0.03
0.26,-1316733.91,3.04,-0.04
0.4,-1317037.18,3.04,-0.01
0.5,-1317040.26,3.04,0.0
0.8,-1317165.49,3.04,0.01
0.49,-1317207.44,3.04,-0.03
0.28,-1317826.66,3.04,-0.03
0.56,-1317926.63,3.04,-0.02
0.33,-1318397.08,3.04,-0.04
0.48,-1319805.94,3.04,-0.03
0.64,-1319865.16,3.04,-0.02
0.26,-1320808.44,3.04,-0.04
0.5,-1320959.67,3.04,0.0
0.73,-1321739.65,3.04,-0.0
0.66,-1322006.03,3.04,0.02
0.53,-1322788.32,3.04,0.0
0.29,-1323495.9,3.04,-0.02
0.42,-1323837.21,3.04,-0.04
0.67,-1326251.05,3.04,-0.01
0.8,-1326423.44,3.04,0.01
0.8,-1328035.15,3.04,0.02
0.29,-1328342.51,3.04,-0.04
0.65,-1328842.18,3.04,0.01
