Snow ratio,Log likelihood,Error std
0.26,-1548146.8,1.82
0.26,-1548161.08,1.82
0.26,-1548180.56,1.82
0.26,-1548202.67,1.82
0.26,-1548212.43,1.82
0.27,-1548277.02,1.82
0.26,-1548357.71,1.82
0.26,-1548363.64,1.82
0.27,-1548564.44,1.82
0.27,-1548564.97,1.82
0.27,-1548591.58,1.82
0.27,-1548592.91,1.82
0.25,-1548865.83,1.82
0.25,-1549055.18,1.82
0.25,-1549153.13,1.82
0.27,-1549199.61,1.82
0.25,-1549203.62,1.82
0.27,-1549362.65,1.82
0.27,-1549367.59,1.82
0.27,-1549468.46,1.82
0.25,-1549498.45,1.82
0.27,-1549564.38,1.82
0.27,-1549820.18,1.82
0.27,-1549901.12,1.82
0.27,-1549949.81,1.82
0.27,-1549960.66,1.82
0.27,-1550082.44,1.82
0.27,-1550192.06,1.82
0.28,-1550647.11,1.82
0.28,-1550715.42,1.82
0.28,-1550784.66,1.82
0.28,-1551136.57,1.82
0.28,-1551254.31,1.82
0.25,-1551338.42,1.82
0.25,-1551464.07,1.82
0.28,-1551650.65,1.82
0.25,-1551759.61,1.82
0.28,-1551774.51,1.82
0.25,-1551977.14,1.82
0.24,-1552287.25,1.82
0.24,-1552345.74,1.82
0.28,-1552504.1,1.82
0.28,-1552584.19,1.82
0.28,-1552622.64,1.82
0.24,-1552839.59,1.82
0.24,-1553061.32,1.82
0.28,-1553064.36,1.82
0.24,-1553153.13,1.82
0.24,-1553468.21,1.82
0.28,-1553614.29,1.82
0.28,-1553841.56,1.82
0.24,-1554191.41,1.82
0.28,-1554673.51,1.82
0.28,-1554688.7,1.82
0.28,-1554814.68,1.82
0.29,-1555570.95,1.82
0.29,-1555687.33,1.82
0.24,-1555712.9,1.82
0.24,-1555829.75,1.82
0.29,-1555914.7,1.82
0.29,-1556164.73,1.82
0.29,-1556568.74,1.82
0.24,-1556591.64,1.82
0.24,-1556614.14,1.82
0.29,-1557980.84,1.82
0.29,-1558038.46,1.82
0.23,-1558449.33,1.82
0.23,-1558776.4,1.82
0.29,-1559035.26,1.82
0.29,-1560063.68,1.82
0.23,-1560316.81,1.82
0.23,-1561293.49,1.82
0.29,-1561436.09,1.82
0.23,-1561996.65,1.82
0.23,-1562349.29,1.82
0.29,-1562390.83,1.82
0.23,-1562397.6,1.82
0.29,-1562463.51,1.82
0.23,-1562678.38,1.82
0.3,-1562808.59,1.82
0.23,-1563939.68,1.82
0.23,-1563974.71,1.82
0.23,-1564296.9,1.82
0.3,-1564401.61,1.82
0.3,-1564571.21,1.82
0.23,-1565386.77,1.82
