Snow ratio,Log likelihood,Error std
0.27,-1149756.82,2.11
0.27,-1149756.85,2.11
0.27,-1149761.08,2.11
0.27,-1149761.12,2.11
0.27,-1149769.53,2.11
0.27,-1149778.83,2.11
0.27,-1149786.35,2.11
0.27,-1149793.85,2.11
0.27,-1149802.28,2.11
0.28,-1149833.17,2.11
0.28,-1149937.44,2.11
0.28,-1149988.87,2.11
0.27,-1150008.31,2.11
0.28,-1150040.69,2.11
0.27,-1150042.81,2.11
0.28,-1150063.08,2.11
0.28,-1150137.76,2.11
0.28,-1150257.81,2.11
0.27,-1150274.76,2.11
0.27,-1150279.29,2.11
0.28,-1150298.41,2.11
0.28,-1150524.1,2.11
0.28,-1150586.76,2.11
0.28,-1150842.76,2.11
0.26,-1150932.47,2.11
0.26,-1150985.61,2.11
0.26,-1151422.12,2.11
0.29,-1152157.2,2.11
0.29,-1152543.88,2.11
0.26,-1152633.24,2.11
0.26,-1152770.16,2.11
0.25,-1152914.45,2.11
0.29,-1152952.52,2.11
0.25,-1153140.84,2.11
0.29,-1153353.56,2.11
0.25,-1153486.21,2.11
0.25,-1154312.66,2.11
0.25,-1154606.59,2.11
0.25,-1154729.55,2.11
0.3,-1154826.45,2.11
0.25,-1154939.97,2.11
0.25,-1154945.4,2.11
0.3,-1155472.67,2.11
0.3,-1155497.53,2.11
0.25,-1155561.86,2.11
0.25,-1155779.55,2.11
0.3,-1155998.71,2.11
0.25,-1156481.81,2.11
0.3,-1156791.24,2.11
0.24,-1157766.47,2.11
0.3,-1157784.87,2.11
0.3,-1158158.94,2.11
0.3,-1158239.08,2.11
0.3,-1158821.86,2.11
0.3,-1158900.56,2.11
0.24,-1159774.37,2.11
0.3,-1160143.9,2.11
0.31,-1160578.19,2.11
0.24,-1160870.56,2.11
0.24,-1161342.01,2.11
0.24,-1161425.06,2.11
0.24,-1161717.46,2.11
0.31,-1161801.77,2.11
0.31,-1162174.06,2.11
0.31,-1162179.41,2.11
0.31,-1162726.1,2.11
0.31,-1163322.32,2.11
0.24,-1163444.56,2.11
0.24,-1163454.01,2.11
0.31,-1163623.03,2.11
0.23,-1164389.18,2.11
0.31,-1164475.52,2.11
0.31,-1164489.91,2.11
0.31,-1165290.15,2.11
0.31,-1165312.61,2.11
0.31,-1165391.45,2.11
0.23,-1165632.12,2.11
0.23,-1166314.59,2.11
0.31,-1166620.04,2.11
0.23,-1166847.06,2.11
0.23,-1167938.63,2.11
0.32,-1167955.01,2.11
0.32,-1168492.64,2.11
0.23,-1169482.11,2.11
0.23,-1169851.24,2.11
0.32,-1169929.07,2.11
0.23,-1169969.48,2.11
0.23,-1170532.08,2.11
0.23,-1170638.59,2.11
0.23,-1170735.81,2.11
0.23,-1171577.14,2.11
0.23,-1172094.07,2.11
0.22,-1172592.6,2.11
0.22,-1172819.75,2.11
0.32,-1173423.22,2.11
0.32,-1175064.72,2.11
0.22,-1175114.59,2.11
0.22,-1175143.36,2.11
0.22,-1175489.52,2.11
0.22,-1176213.34,2.11
0.32,-1176459.82,2.11
0.22,-1177019.26,2.11
0.33,-1177374.11,2.11
0.33,-1177449.66,2.11
0.33,-1178002.08,2.11
0.22,-1178387.38,2.11
0.22,-1179028.07,2.11
0.22,-1179114.42,2.11
0.22,-1179558.48,2.11
0.22,-1179646.71,2.11
0.22,-1179757.68,2.11
0.22,-1180392.08,2.11
0.22,-1181144.22,2.11
0.22,-1182510.29,2.11
0.33,-1182722.38,2.11
0.33,-1184204.89,2.11
0.21,-1184307.95,2.11
0.21,-1185063.14,2.11
0.21,-1186021.58,2.11
0.21,-1186732.38,2.11
0.21,-1186988.0,2.11
0.21,-1187661.08,2.11
0.33,-1188055.77,2.11
0.33,-1188130.7,2.11
0.33,-1188142.45,2.11
0.21,-1189014.97,2.11
0.21,-1189089.36,2.11
0.21,-1189115.82,2.11
0.34,-1189997.56,2.11
0.34,-1190586.19,2.11
0.21,-1192406.83,2.11
0.21,-1192498.57,2.11
0.34,-1192639.5,2.11
0.21,-1194023.82,2.11
0.2,-1195856.85,2.11
0.34,-1196318.24,2.11
0.34,-1196932.49,2.11
0.2,-1199647.61,2.11
0.2,-1200305.89,2.11
0.2,-1201494.0,2.11
0.34,-1201777.15,2.11
0.34,-1201976.15,2.11
0.2,-1202049.24,2.11
0.2,-1202351.55,2.11
0.35,-1202373.63,2.11
0.35,-1203365.57,2.11
0.2,-1204202.04,2.11
0.2,-1204927.54,2.11
0.35,-1204974.35,2.11
0.35,-1205249.69,2.11
0.35,-1205882.43,2.11
0.2,-1205957.42,2.11
0.35,-1207126.02,2.11
0.35,-1207680.34,2.11
0.2,-1208958.57,2.11
0.2,-1210271.3,2.11
0.19,-1210780.4,2.11
0.35,-1211475.36,2.11
0.35,-1211982.82,2.11
0.35,-1212537.76,2.11
0.35,-1212920.7,2.11
0.19,-1214888.24,2.11
