Snow ratio,Log likelihood,Error std
0.38,-371793.03,3.61
0.38,-371794.57,3.61
0.38,-371798.77,3.61
0.38,-371822.02,3.61
0.38,-371831.29,3.61
0.38,-371832.43,3.61
0.38,-371833.11,3.61
0.38,-371834.55,3.61
0.38,-371836.51,3.61
0.38,-371840.92,3.61
0.39,-371851.87,3.61
0.38,-371864.0,3.61
0.39,-371875.1,3.61
0.39,-371876.23,3.61
0.39,-371914.91,3.61
0.39,-371918.23,3.61
0.39,-371919.49,3.61
0.37,-371929.31,3.61
0.37,-371948.1,3.61
0.39,-371997.78,3.61
0.39,-372007.05,3.61
0.37,-372039.0,3.61
0.37,-372062.7,3.61
0.37,-372139.02,3.61
0.39,-372154.64,3.61
0.39,-372229.79,3.61
0.37,-372270.07,3.61
0.37,-372271.87,3.61
0.37,-372289.94,3.61
0.37,-372423.82,3.61
0.4,-372557.64,3.61
0.37,-372613.75,3.61
0.36,-372710.58,3.61
0.4,-372935.25,3.61
0.36,-372945.22,3.61
0.4,-372954.56,3.61
0.36,-372970.86,3.61
0.4,-372994.2,3.61
0.4,-373035.08,3.61
0.4,-373132.78,3.61
0.36,-373141.61,3.61
0.36,-373375.01,3.61
0.36,-373415.29,3.61
0.4,-373468.86,3.61
0.4,-373570.56,3.61
0.36,-373665.92,3.61
0.36,-373695.17,3.61
0.36,-373804.9,3.61
0.36,-374045.45,3.61
0.35,-374159.85,3.61
0.41,-374433.74,3.61
0.35,-374436.89,3.61
0.35,-374447.48,3.61
0.41,-374557.65,3.61
0.41,-374612.61,3.61
0.41,-374719.17,3.61
0.35,-374747.28,3.61
0.35,-374829.03,3.61
0.35,-374924.65,3.61
0.35,-374989.65,3.61
0.41,-375050.19,3.61
0.41,-375264.71,3.61
0.41,-375323.58,3.61
0.41,-375476.64,3.61
0.41,-375485.3,3.61
0.35,-375673.61,3.61
0.41,-375731.62,3.61
0.41,-375760.76,3.61
0.42,-376445.62,3.61
0.34,-376536.24,3.61
0.42,-376554.47,3.61
0.42,-376695.99,3.61
0.34,-376866.32,3.61
0.42,-376934.51,3.61
0.34,-377061.76,3.61
0.34,-377132.57,3.61
0.34,-377333.04,3.61
0.42,-377612.45,3.61
0.34,-377766.35,3.61
0.42,-377785.38,3.61
0.42,-377899.8,3.61
0.42,-377974.87,3.61
0.43,-379459.12,3.61
0.43,-379731.2,3.61
0.43,-379741.76,3.61
0.43,-379817.99,3.61
0.33,-380053.1,3.61
0.33,-380389.56,3.61
0.33,-380481.29,3.61
0.43,-380754.73,3.61
0.33,-381263.2,3.61
0.33,-381342.07,3.61
0.43,-381364.45,3.61
0.33,-381375.0,3.61
0.33,-381529.91,3.61
0.43,-381564.69,3.61
0.44,-381944.62,3.61
0.33,-381956.62,3.61
0.33,-382213.83,3.61
0.33,-382361.52,3.61
0.33,-382455.32,3.61
0.33,-382509.19,3.61
0.32,-382644.24,3.61
0.32,-383099.16,3.61
0.32,-383211.26,3.61
0.32,-383567.96,3.61
0.44,-383611.54,3.61
0.32,-383623.04,3.61
0.32,-383699.13,3.61
0.32,-383769.14,3.61
0.32,-383825.69,3.61
0.32,-383993.06,3.61
0.44,-384195.63,3.61
0.44,-384816.68,3.61
0.32,-384868.01,3.61
0.44,-384964.04,3.61
0.32,-385287.55,3.61
0.32,-385474.72,3.61
0.32,-385787.35,3.61
0.32,-385791.65,3.61
0.32,-386133.21,3.61
0.32,-386368.9,3.61
0.32,-386459.34,3.61
0.45,-386595.3,3.61
0.31,-386932.87,3.61
0.31,-387112.34,3.61
0.31,-387227.39,3.61
0.45,-387346.62,3.61
0.45,-387461.62,3.61
0.31,-387632.67,3.61
0.45,-388211.38,3.61
0.31,-389584.78,3.61
0.45,-389787.84,3.61
0.31,-389958.44,3.61
0.31,-390027.71,3.61
0.45,-390086.48,3.61
0.31,-390122.96,3.61
0.45,-390220.26,3.61
0.31,-390236.74,3.61
0.46,-390684.39,3.61
0.46,-390704.17,3.61
0.31,-390873.61,3.61
0.31,-390900.36,3.61
0.46,-391012.62,3.61
0.3,-391786.46,3.61
0.46,-392327.11,3.61
0.3,-392620.97,3.61
0.3,-392811.42,3.61
0.46,-392846.19,3.61
0.46,-393053.74,3.61
0.46,-393072.49,3.61
0.3,-393354.19,3.61
0.3,-393573.14,3.61
0.46,-393714.15,3.61
0.46,-394035.08,3.61
0.46,-394706.99,3.61
0.3,-395249.3,3.61
0.46,-395296.17,3.61
0.46,-395400.19,3.61
0.46,-395582.84,3.61
0.3,-396100.18,3.61
0.3,-396258.77,3.61
0.3,-396657.18,3.61
0.3,-396736.44,3.61
0.47,-397422.66,3.61
0.29,-397798.49,3.61
0.47,-397829.42,3.61
0.29,-397838.01,3.61
0.29,-397965.24,3.61
0.47,-398085.8,3.61
0.29,-398483.08,3.61
0.29,-398617.45,3.61
0.47,-398661.04,3.61
0.47,-398743.67,3.61
0.29,-399489.92,3.61
0.29,-400287.43,3.61
0.47,-400682.39,3.61
0.47,-400920.46,3.61
0.47,-401373.03,3.61
0.47,-402100.63,3.61
0.29,-402251.57,3.61
0.29,-402469.3,3.61
0.48,-402791.7,3.61
0.29,-402936.59,3.61
0.29,-403065.72,3.61
0.29,-403221.49,3.61
0.29,-403231.53,3.61
0.48,-403442.65,3.61
0.28,-403731.04,3.61
0.28,-403796.58,3.61
0.28,-403939.92,3.61
0.48,-404177.28,3.61
0.28,-404390.34,3.61
0.48,-404775.19,3.61
0.48,-404970.45,3.61
0.48,-405692.75,3.61
0.48,-406106.07,3.61
0.28,-406132.06,3.61
0.28,-406412.71,3.61
0.48,-406868.28,3.61
0.48,-407360.92,3.61
0.48,-407544.38,3.61
0.28,-408416.04,3.61
0.28,-408422.95,3.61
0.28,-408853.86,3.61
0.28,-408995.63,3.61
0.49,-409034.55,3.61
