Snow ratio,Log likelihood,Error std
0.22,-892632.49,2.61
0.22,-892634.66,2.61
0.22,-892644.84,2.61
0.22,-892646.7,2.61
0.22,-892666.53,2.61
0.22,-892688.37,2.61
0.22,-892707.94,2.61
0.22,-892713.66,2.61
0.23,-892724.7,2.61
0.23,-892727.88,2.61
0.22,-892765.37,2.61
0.22,-892770.46,2.61
0.22,-892776.91,2.61
0.22,-892795.44,2.61
0.23,-892851.86,2.61
0.21,-892896.61,2.61
0.21,-892947.88,2.61
0.21,-892965.43,2.61
0.21,-892975.51,2.61
0.21,-893225.9,2.61
0.21,-893349.59,2.61
0.21,-893424.1,2.61
0.21,-893530.91,2.61
0.23,-893634.39,2.61
0.23,-893728.06,2.61
0.23,-893750.21,2.61
0.21,-894059.02,2.61
0.21,-894104.0,2.61
0.24,-894203.75,2.61
0.24,-894253.6,2.61
0.24,-894362.72,2.61
0.2,-894501.28,2.61
0.2,-894539.54,2.61
0.24,-894650.55,2.61
0.24,-894654.13,2.61
0.24,-894912.48,2.61
0.2,-894921.88,2.61
0.2,-895117.11,2.61
0.24,-895133.31,2.61
0.2,-895417.09,2.61
0.2,-895604.32,2.61
0.24,-895764.58,2.61
0.24,-895887.36,2.61
0.24,-895952.56,2.61
0.24,-895959.4,2.61
0.24,-896082.41,2.61
0.24,-896171.91,2.61
0.2,-896223.65,2.61
0.24,-896254.73,2.61
0.24,-896343.33,2.61
0.2,-896483.52,2.61
0.2,-896512.41,2.61
0.25,-896582.71,2.61
0.25,-896777.97,2.61
0.2,-896817.8,2.61
0.2,-896931.32,2.61
0.2,-897107.18,2.61
0.25,-897403.75,2.61
0.25,-897476.04,2.61
0.19,-897539.8,2.61
0.25,-897812.42,2.61
0.25,-897886.41,2.61
0.25,-898127.37,2.61
0.19,-898236.55,2.61
0.19,-898476.57,2.61
0.25,-898493.84,2.61
0.25,-898507.28,2.61
0.25,-898584.56,2.61
0.25,-898962.94,2.61
0.19,-899257.76,2.61
0.19,-899528.87,2.61
0.25,-899771.71,2.61
0.25,-899848.12,2.61
0.19,-899970.23,2.61
0.19,-900072.08,2.61
0.26,-901076.17,2.61
0.26,-902131.99,2.61
0.18,-902520.57,2.61
0.18,-902840.87,2.61
0.26,-902851.83,2.61
0.26,-902938.23,2.61
0.26,-903091.13,2.61
0.26,-903159.47,2.61
0.26,-903302.91,2.61
0.26,-903384.32,2.61
0.26,-903389.88,2.61
0.18,-903481.36,2.61
0.27,-905643.22,2.61
0.27,-906271.99,2.61
0.18,-906460.86,2.61
0.27,-906825.35,2.61
0.17,-907064.46,2.61
0.17,-907446.8,2.61
0.17,-908046.09,2.61
0.27,-908219.43,2.61
0.27,-908309.56,2.61
0.27,-908501.22,2.61
0.27,-908510.85,2.61
0.17,-908645.95,2.61
0.27,-908821.49,2.61
0.17,-908829.08,2.61
0.17,-909012.82,2.61
0.17,-909198.6,2.61
0.17,-909305.41,2.61
0.17,-909711.34,2.61
0.27,-909815.0,2.61
0.17,-910722.02,2.61
0.27,-911027.97,2.61
0.17,-912038.87,2.61
0.28,-912320.24,2.61
0.28,-912642.18,2.61
0.28,-913182.12,2.61
0.16,-914114.48,2.61
0.28,-914524.14,2.61
0.28,-914716.62,2.61
0.28,-915979.16,2.61
0.28,-916386.3,2.61
0.16,-916496.24,2.61
0.28,-916735.65,2.61
0.16,-916783.62,2.61
0.16,-916860.82,2.61
0.16,-917132.31,2.61
0.28,-917159.37,2.61
0.16,-917905.05,2.61
0.28,-918613.71,2.61
0.28,-918758.58,2.61
0.16,-919188.38,2.61
0.29,-919722.93,2.61
0.16,-919975.12,2.61
0.16,-920582.14,2.61
0.29,-920819.98,2.61
0.29,-920961.56,2.61
0.29,-921532.17,2.61
0.29,-921544.46,2.61
0.15,-922144.53,2.61
0.29,-922620.2,2.61
0.29,-922977.81,2.61
0.29,-923964.01,2.61
0.15,-924109.43,2.61
0.15,-924472.49,2.61
0.29,-924884.73,2.61
0.29,-925162.75,2.61
0.29,-925261.19,2.61
0.15,-925360.68,2.61
0.15,-925476.92,2.61
0.29,-925644.05,2.61
0.15,-926602.97,2.61
0.29,-926682.46,2.61
0.15,-926820.32,2.61
0.15,-927634.06,2.61
0.15,-928651.56,2.61
0.3,-929372.57,2.61
0.3,-929939.75,2.61
0.3,-929967.67,2.61
0.15,-930311.2,2.61
0.15,-930637.94,2.61
0.14,-931717.3,2.61
0.14,-931812.35,2.61
0.3,-931946.38,2.61
0.14,-932229.96,2.61
0.3,-932579.96,2.61
0.14,-932594.94,2.61
0.14,-933542.07,2.61
0.3,-934963.52,2.61
0.14,-935007.42,2.61
0.14,-936066.82,2.61
0.14,-936366.19,2.61
0.14,-936931.99,2.61
0.14,-937713.81,2.61
0.31,-938926.21,2.61
0.14,-939214.73,2.61
0.31,-939985.34,2.61
0.14,-940106.6,2.61
0.31,-940455.89,2.61
0.14,-940476.43,2.61
0.14,-941052.81,2.61
0.14,-941219.86,2.61
0.13,-942126.08,2.61
0.13,-942873.86,2.61
0.31,-942895.51,2.61
0.31,-942958.03,2.61
0.31,-943464.24,2.61
0.31,-944846.37,2.61
0.13,-945799.84,2.61
0.31,-946374.93,2.61
0.31,-946999.98,2.61
0.31,-947262.02,2.61
0.13,-947651.84,2.61
0.13,-947762.44,2.61
0.13,-949881.04,2.61
0.13,-949990.88,2.61
0.13,-950078.17,2.61
0.31,-950463.57,2.61
0.32,-950864.59,2.61
0.32,-951676.46,2.61
0.13,-951977.49,2.61
0.32,-953067.77,2.61
0.12,-954347.61,2.61
0.12,-955278.81,2.61
0.12,-955430.72,2.61
0.12,-955980.84,2.61
0.32,-956045.7,2.61
0.12,-956762.35,2.61
0.32,-957635.67,2.61
0.32,-959638.08,2.61
0.32,-961075.72,2.61
0.32,-961891.89,2.61
0.12,-964787.36,2.61
0.12,-965748.23,2.61
0.12,-966255.72,2.61
0.33,-967721.72,2.61
0.11,-968220.57,2.61
0.11,-968239.99,2.61
0.11,-968545.12,2.61
0.33,-972137.67,2.61
0.33,-972350.45,2.61
0.33,-972606.79,2.61
0.11,-972880.48,2.61
0.11,-974470.45,2.61
0.11,-974644.84,2.61
0.33,-974985.17,2.61
0.33,-975121.0,2.61
0.11,-976768.68,2.61
0.11,-976836.13,2.61
0.33,-977408.72,2.61
0.11,-977467.7,2.61
0.11,-978788.65,2.61
0.34,-978961.0,2.61
0.11,-979637.41,2.61
0.11,-979639.93,2.61
0.11,-981116.58,2.61
0.34,-981282.09,2.61
0.1,-981453.79,2.61
0.1,-981488.17,2.61
0.34,-983162.39,2.61
0.1,-985072.78,2.61
0.34,-985440.03,2.61
0.1,-985581.38,2.61
0.34,-985702.36,2.61
0.34,-985770.87,2.61
0.34,-985947.28,2.61
0.1,-986349.08,2.61
0.1,-986555.97,2.61
0.34,-986836.73,2.61
0.34,-987356.16,2.61
0.34,-987573.34,2.61
0.1,-988193.53,2.61
0.1,-988302.11,2.61
0.1,-988860.02,2.61
0.1,-989051.77,2.61
0.1,-989059.47,2.61
0.1,-990197.31,2.61
0.1,-990261.93,2.61
0.34,-990325.37,2.61
0.34,-990942.13,2.61
0.1,-992487.62,2.61
0.35,-993949.2,2.61
0.35,-994397.41,2.61
0.35,-994441.21,2.61
0.35,-994481.82,2.61
0.35,-995108.84,2.61
