Snow ratio,Log likelihood,Error std
0.48,-361772.99,2.92
0.48,-361773.37,2.92
0.48,-361774.18,2.92
0.48,-361782.42,2.92
0.48,-361791.48,2.92
0.48,-361797.32,2.92
0.48,-361800.05,2.92
0.48,-361806.91,2.92
0.47,-361834.26,2.92
0.48,-361837.03,2.92
0.47,-361838.02,2.92
0.48,-361882.94,2.92
0.48,-361887.41,2.92
0.49,-362104.15,2.92
0.47,-362134.95,2.92
0.47,-362160.0,2.92
0.49,-362208.25,2.92
0.47,-362216.55,2.92
0.47,-362287.35,2.92
0.46,-362423.45,2.92
0.49,-362492.43,2.92
0.46,-362549.41,2.92
0.49,-362597.27,2.92
0.46,-362609.59,2.92
0.49,-362638.4,2.92
0.46,-362716.25,2.92
0.46,-362720.17,2.92
0.46,-362733.69,2.92
0.49,-362765.37,2.92
0.49,-362788.78,2.92
0.46,-362789.13,2.92
0.46,-362845.7,2.92
0.5,-362887.51,2.92
0.5,-362908.84,2.92
0.46,-362992.09,2.92
0.5,-363095.45,2.92
0.46,-363098.38,2.92
0.46,-363106.56,2.92
0.46,-363224.58,2.92
0.46,-363241.52,2.92
0.5,-363284.96,2.92
0.5,-363288.4,2.92
0.5,-363291.96,2.92
0.46,-363413.48,2.92
0.5,-363418.06,2.92
0.46,-363533.47,2.92
0.46,-363608.11,2.92
0.46,-363612.93,2.92
0.46,-363635.43,2.92
0.45,-363786.65,2.92
0.45,-364018.17,2.92
0.45,-364041.79,2.92
0.5,-364099.07,2.92
0.5,-364459.71,2.92
0.5,-364477.44,2.92
0.45,-364517.86,2.92
0.51,-364605.85,2.92
0.45,-364781.37,2.92
0.45,-364866.54,2.92
0.45,-364887.7,2.92
0.51,-365048.29,2.92
0.51,-365338.74,2.92
0.51,-365578.75,2.92
0.51,-365629.26,2.92
0.51,-365771.2,2.92
0.51,-365891.22,2.92
0.44,-365898.56,2.92
0.51,-366038.66,2.92
0.51,-366113.69,2.92
0.44,-366160.32,2.92
0.44,-366465.94,2.92
0.44,-366665.14,2.92
0.51,-366724.39,2.92
0.44,-366928.76,2.92
0.52,-367085.56,2.92
0.44,-367388.46,2.92
0.44,-367392.9,2.92
0.44,-367643.53,2.92
0.52,-367794.44,2.92
0.44,-367843.62,2.92
0.52,-367878.12,2.92
0.44,-367941.04,2.92
0.44,-367957.32,2.92
0.44,-368255.37,2.92
0.44,-368562.72,2.92
0.43,-369172.37,2.92
0.52,-369397.74,2.92
0.43,-369679.34,2.92
0.52,-369704.77,2.92
0.52,-369815.36,2.92
0.43,-369827.63,2.92
0.52,-369880.95,2.92
0.52,-369903.56,2.92
0.43,-370006.16,2.92
0.43,-370038.13,2.92
0.43,-370288.51,2.92
0.43,-370381.11,2.92
0.43,-370450.13,2.92
0.43,-370467.08,2.92
0.53,-370503.73,2.92
0.43,-370545.48,2.92
0.43,-370651.0,2.92
0.53,-371095.28,2.92
0.53,-371097.24,2.92
0.43,-371578.24,2.92
0.43,-371750.89,2.92
0.43,-371777.31,2.92
0.43,-371952.45,2.92
0.53,-372033.06,2.92
0.43,-372068.04,2.92
0.43,-372079.15,2.92
0.42,-372179.48,2.92
0.53,-372274.1,2.92
0.53,-372326.33,2.92
