Snow ratio,Log likelihood,Error std
0.53,-288155.87,3.14
0.53,-288179.4,3.14
0.53,-288188.66,3.14
0.52,-288205.53,3.14
0.54,-288285.46,3.14
0.54,-288303.87,3.14
0.52,-288360.91,3.14
0.52,-288373.93,3.14
0.52,-288426.6,3.14
0.52,-288430.02,3.14
0.54,-288459.69,3.14
0.52,-288467.69,3.14
0.54,-288477.68,3.14
0.54,-288481.26,3.14
0.52,-288553.67,3.14
0.52,-288705.74,3.14
0.54,-288795.0,3.14
0.54,-288851.13,3.14
0.51,-289151.27,3.14
0.51,-289193.26,3.14
0.55,-289228.77,3.14
0.55,-289444.83,3.14
0.51,-289444.88,3.14
0.55,-289516.4,3.14
0.51,-289543.18,3.14
0.55,-289623.27,3.14
0.51,-289705.88,3.14
0.55,-289720.89,3.14
0.51,-289732.75,3.14
0.55,-289762.44,3.14
0.55,-289930.47,3.14
0.55,-289944.84,3.14
0.55,-290138.52,3.14
0.5,-290296.78,3.14
0.5,-290305.97,3.14
0.55,-290319.2,3.14
0.5,-290429.16,3.14
0.5,-290457.34,3.14
0.5,-290467.74,3.14
0.5,-290671.32,3.14
0.56,-290727.53,3.14
0.56,-290807.87,3.14
0.56,-290821.37,3.14
0.56,-291166.06,3.14
0.5,-291206.12,3.14
0.56,-291321.27,3.14
0.56,-291453.46,3.14
0.5,-291690.39,3.14
0.49,-291889.26,3.14
0.56,-292065.78,3.14
0.49,-292118.02,3.14
0.49,-292174.32,3.14
0.57,-292375.0,3.14
0.57,-292424.58,3.14
0.57,-292472.93,3.14
0.57,-292520.71,3.14
0.57,-292634.01,3.14
0.57,-292728.08,3.14
0.49,-292749.81,3.14
0.57,-292769.42,3.14
0.49,-292868.96,3.14
0.57,-293212.42,3.14
0.49,-293368.4,3.14
0.57,-293387.57,3.14
0.57,-293453.39,3.14
0.57,-293642.01,3.14
0.49,-294202.75,3.14
0.57,-294376.23,3.14
0.57,-294396.52,3.14
0.48,-294504.27,3.14
0.48,-294593.31,3.14
0.57,-294818.7,3.14
0.48,-294856.1,3.14
0.48,-295054.96,3.14
0.58,-295135.68,3.14
0.58,-295203.63,3.14
0.58,-295282.82,3.14
0.48,-295609.56,3.14
0.48,-295728.41,3.14
0.48,-295952.88,3.14
0.58,-296202.38,3.14
0.58,-296263.75,3.14
0.58,-296288.12,3.14
0.58,-296353.09,3.14
0.58,-296398.95,3.14
0.48,-296421.9,3.14
0.48,-296462.14,3.14
0.48,-296912.47,3.14
0.58,-297200.52,3.14
0.47,-297737.76,3.14
0.47,-298014.61,3.14
0.58,-298016.47,3.14
0.47,-298040.76,3.14
0.47,-298106.66,3.14
0.58,-298200.11,3.14
0.59,-298343.31,3.14
0.47,-298393.03,3.14
0.59,-298581.39,3.14
0.59,-298712.13,3.14
0.59,-298906.24,3.14
0.59,-299029.5,3.14
0.47,-299047.91,3.14
0.59,-299076.85,3.14
0.59,-299275.42,3.14
0.59,-299446.53,3.14
0.59,-299586.7,3.14
0.47,-300651.34,3.14
0.59,-300809.87,3.14
0.47,-300865.99,3.14
0.59,-300875.24,3.14
0.59,-300899.54,3.14
0.59,-301095.58,3.14
0.59,-301623.56,3.14
0.59,-301698.01,3.14
0.46,-301705.15,3.14
0.59,-301741.28,3.14
0.59,-301747.39,3.14
0.46,-301921.54,3.14
0.46,-302844.87,3.14
0.6,-302860.31,3.14
0.46,-303088.47,3.14
0.6,-303647.42,3.14
0.46,-304048.0,3.14
0.46,-304115.35,3.14
0.46,-304383.35,3.14
0.6,-304414.25,3.14
0.46,-304419.97,3.14
0.6,-304466.89,3.14
