Snow ratio,Log likelihood,Error std
0.4,-356670.48,3.32
0.4,-356672.34,3.32
0.4,-356673.37,3.32
0.4,-356673.94,3.32
0.4,-356675.56,3.32
0.39,-356679.71,3.32
0.4,-356679.77,3.32
0.4,-356680.48,3.32
0.39,-356693.45,3.32
0.4,-356694.26,3.32
0.4,-356716.12,3.32
0.39,-356718.38,3.32
0.39,-356730.56,3.32
0.39,-356745.45,3.32
0.4,-356759.54,3.32
0.4,-356770.51,3.32
0.39,-356776.09,3.32
0.4,-356783.32,3.32
0.4,-356787.95,3.32
0.39,-356794.35,3.32
0.4,-356810.46,3.32
0.39,-356813.37,3.32
0.39,-356813.79,3.32
0.39,-356815.82,3.32
0.4,-356856.51,3.32
0.4,-356882.61,3.32
0.41,-356909.34,3.32
0.39,-356943.88,3.32
0.39,-356960.08,3.32
0.38,-357084.03,3.32
0.41,-357087.28,3.32
0.38,-357097.97,3.32
0.38,-357123.32,3.32
0.41,-357125.5,3.32
0.38,-357175.5,3.32
0.38,-357179.01,3.32
0.41,-357202.28,3.32
0.38,-357214.41,3.32
0.38,-357219.09,3.32
0.38,-357223.15,3.32
0.41,-357226.65,3.32
0.41,-357291.21,3.32
0.38,-357333.31,3.32
0.41,-357339.46,3.32
0.38,-357363.17,3.32
0.41,-357438.94,3.32
0.38,-357555.93,3.32
0.41,-357581.08,3.32
0.41,-357594.47,3.32
0.38,-357636.62,3.32
0.38,-357775.75,3.32
0.38,-357854.42,3.32
0.42,-357856.96,3.32
0.38,-357880.65,3.32
0.37,-358013.4,3.32
0.37,-358026.2,3.32
0.42,-358110.87,3.32
0.37,-358184.61,3.32
0.42,-358283.66,3.32
0.37,-358421.41,3.32
0.42,-358437.83,3.32
0.37,-358462.55,3.32
0.42,-358565.91,3.32
0.37,-358748.48,3.32
0.42,-358749.08,3.32
0.42,-358754.75,3.32
0.42,-358829.49,3.32
0.37,-358915.97,3.32
0.42,-358921.46,3.32
0.42,-359002.03,3.32
0.43,-359108.2,3.32
0.37,-359111.5,3.32
0.37,-359155.81,3.32
0.37,-359178.95,3.32
0.43,-359226.46,3.32
0.37,-359284.71,3.32
0.43,-359290.55,3.32
0.37,-359346.96,3.32
0.37,-359400.62,3.32
0.37,-359444.64,3.32
0.36,-359537.32,3.32
0.43,-359620.81,3.32
0.36,-359625.59,3.32
0.36,-359716.07,3.32
0.36,-359721.36,3.32
0.36,-359764.51,3.32
0.43,-360009.3,3.32
0.36,-360025.03,3.32
0.36,-360123.03,3.32
0.43,-360205.61,3.32
0.43,-360224.56,3.32
0.43,-360242.48,3.32
0.43,-360620.65,3.32
0.43,-360685.47,3.32
0.43,-360942.92,3.32
0.36,-360963.51,3.32
0.44,-361225.86,3.32
0.44,-361237.19,3.32
0.36,-361337.41,3.32
0.36,-361396.46,3.32
0.36,-361518.44,3.32
0.35,-361917.29,3.32
0.35,-362077.14,3.32
0.35,-362083.73,3.32
0.44,-362188.84,3.32
0.44,-362458.83,3.32
0.35,-362480.2,3.32
0.44,-362556.97,3.32
0.35,-362625.24,3.32
0.35,-362728.84,3.32
0.44,-362732.27,3.32
0.44,-363068.65,3.32
0.35,-363166.19,3.32
0.35,-363472.26,3.32
0.35,-363534.25,3.32
0.45,-363550.26,3.32
0.45,-363584.91,3.32
0.35,-363604.91,3.32
0.45,-363724.0,3.32
0.45,-363890.77,3.32
0.45,-364335.54,3.32
0.34,-364493.54,3.32
0.34,-364526.59,3.32
0.34,-364678.64,3.32
0.45,-365323.75,3.32
0.45,-365363.88,3.32
0.45,-365480.33,3.32
0.45,-365491.54,3.32
0.45,-365685.53,3.32
0.45,-365857.9,3.32
0.45,-366134.93,3.32
0.34,-366181.95,3.32
0.45,-366212.47,3.32
0.45,-366254.07,3.32
0.34,-366647.41,3.32
0.34,-366805.41,3.32
0.34,-367225.36,3.32
0.34,-367288.84,3.32
0.46,-367503.84,3.32
0.33,-367553.88,3.32
0.33,-367638.93,3.32
0.46,-367652.21,3.32
0.46,-367703.37,3.32
0.46,-367965.03,3.32
0.46,-367997.78,3.32
0.33,-368209.08,3.32
0.46,-368362.4,3.32
0.46,-368390.74,3.32
0.33,-368441.3,3.32
0.33,-368726.59,3.32
0.33,-368731.57,3.32
0.46,-368805.44,3.32
0.46,-368825.22,3.32
0.46,-369129.69,3.32
0.46,-369395.72,3.32
0.46,-369820.51,3.32
0.33,-369884.44,3.32
0.46,-369933.64,3.32
0.33,-369988.33,3.32
0.46,-370101.44,3.32
0.47,-370289.77,3.32
0.33,-370374.91,3.32
0.47,-371091.34,3.32
0.47,-371635.58,3.32
0.47,-371674.05,3.32
0.47,-371799.41,3.32
0.47,-371858.53,3.32
0.32,-372090.3,3.32
0.47,-372200.86,3.32
0.32,-372459.58,3.32
0.47,-372718.88,3.32
0.32,-373029.9,3.32
0.47,-373044.47,3.32
0.32,-373251.22,3.32
0.32,-373265.1,3.32
0.32,-373326.59,3.32
0.32,-373392.56,3.32
0.47,-373397.49,3.32
0.47,-373616.76,3.32
0.32,-374388.97,3.32
0.47,-374457.8,3.32
0.48,-374561.91,3.32
0.32,-374923.88,3.32
0.48,-375192.4,3.32
0.32,-375561.78,3.32
0.48,-375625.93,3.32
0.32,-375739.44,3.32
0.48,-375783.11,3.32
0.31,-375899.59,3.32
0.48,-375979.37,3.32
0.31,-376422.27,3.32
0.48,-376736.82,3.32
0.48,-376798.36,3.32
0.31,-377410.24,3.32
0.48,-377454.84,3.32
0.48,-377960.59,3.32
0.31,-378049.6,3.32
0.31,-378311.71,3.32
0.31,-378492.19,3.32
0.31,-378677.24,3.32
0.31,-378985.19,3.32
0.48,-379173.52,3.32
0.31,-379196.64,3.32
0.31,-379251.45,3.32
0.31,-379411.78,3.32
0.31,-379526.99,3.32
0.31,-380003.95,3.32
0.31,-380670.16,3.32
0.49,-381450.57,3.32
0.3,-381869.79,3.32
0.49,-382144.09,3.32
0.49,-382498.76,3.32
0.49,-382748.51,3.32
0.49,-382812.89,3.32
0.49,-382820.73,3.32
0.49,-382835.79,3.32
0.3,-382992.59,3.32
0.49,-383333.43,3.32
0.3,-383393.87,3.32
0.3,-383838.27,3.32
0.3,-384385.76,3.32
0.3,-385065.92,3.32
0.5,-385067.75,3.32
0.3,-385094.1,3.32
0.5,-385595.82,3.32
0.3,-385727.67,3.32
0.5,-385791.34,3.32
0.5,-385983.87,3.32
0.5,-386127.51,3.32
0.3,-386195.78,3.32
0.29,-386573.97,3.32
0.5,-386604.52,3.32
0.5,-386726.11,3.32
0.29,-386865.78,3.32
0.5,-386914.99,3.32
0.29,-387211.8,3.32
0.29,-388011.73,3.32
0.5,-388013.31,3.32
0.29,-388285.27,3.32
0.5,-388376.63,3.32
0.29,-388586.45,3.32
0.29,-388888.46,3.32
0.29,-389345.75,3.32
0.5,-389736.11,3.32
0.29,-390142.26,3.32
0.5,-390410.48,3.32
0.5,-390644.3,3.32
0.29,-390872.08,3.32
0.29,-391110.06,3.32
0.29,-391436.18,3.32
0.51,-391467.85,3.32
0.29,-391797.47,3.32
0.51,-392076.43,3.32
0.28,-393162.27,3.32
0.51,-393426.29,3.32
0.28,-393731.41,3.32
0.28,-393875.46,3.32
0.28,-394136.26,3.32
0.28,-394198.07,3.32
0.28,-394425.12,3.32
0.51,-394871.09,3.32
0.51,-395166.11,3.32
0.28,-395330.93,3.32
0.51,-395406.3,3.32
0.28,-395562.84,3.32
0.51,-395776.57,3.32
0.28,-396326.09,3.32
0.51,-396758.92,3.32
0.51,-397015.08,3.32
0.28,-397019.69,3.32
0.28,-397364.78,3.32
0.28,-398125.31,3.32
0.52,-398189.53,3.32
0.52,-399508.41,3.32
0.27,-399619.32,3.32
0.52,-400033.22,3.32
0.52,-400801.18,3.32
0.27,-401820.33,3.32
0.27,-402035.28,3.32
0.52,-402826.05,3.32
0.52,-402999.48,3.32
0.52,-403115.46,3.32
0.52,-403388.56,3.32
0.52,-403870.61,3.32
0.52,-404032.57,3.32
0.27,-404282.32,3.32
0.27,-404578.07,3.32
0.53,-404841.7,3.32
0.53,-405374.81,3.32
0.27,-405537.92,3.32
0.27,-405612.97,3.32
0.53,-406338.3,3.32
0.26,-406549.12,3.32
0.26,-406607.16,3.32
0.26,-406644.06,3.32
0.26,-406839.78,3.32
0.53,-407282.22,3.32
0.53,-408217.17,3.32
0.53,-408344.68,3.32
0.26,-408531.52,3.32
0.26,-408740.32,3.32
0.26,-409317.74,3.32
0.53,-410329.85,3.32
0.53,-411670.88,3.32
0.26,-411924.68,3.32
0.26,-412660.42,3.32
0.54,-412954.0,3.32
0.26,-413253.57,3.32
0.25,-414833.71,3.32
0.54,-415396.2,3.32
0.54,-415668.13,3.32
0.25,-415803.92,3.32
0.25,-415902.35,3.32
