Snow ratio,Log likelihood,Error std
0.43,-279575.65,3.7
0.43,-279575.71,3.7
0.43,-279575.75,3.7
0.43,-279577.8,3.7
0.43,-279585.53,3.7
0.43,-279588.33,3.7
0.43,-279600.3,3.7
0.43,-279600.44,3.7
0.43,-279608.54,3.7
0.43,-279608.82,3.7
0.43,-279611.56,3.7
0.44,-279667.86,3.7
0.42,-279669.8,3.7
0.42,-279678.16,3.7
0.44,-279696.31,3.7
0.44,-279729.85,3.7
0.42,-279735.18,3.7
0.44,-279758.27,3.7
0.44,-279783.45,3.7
0.44,-279788.97,3.7
0.42,-279865.82,3.7
0.42,-279866.6,3.7
0.44,-279885.63,3.7
0.44,-279905.13,3.7
0.42,-279905.61,3.7
0.42,-279996.07,3.7
0.42,-280108.8,3.7
0.45,-280136.57,3.7
0.45,-280153.19,3.7
0.45,-280177.41,3.7
0.41,-280201.39,3.7
0.45,-280207.01,3.7
0.45,-280252.03,3.7
0.41,-280265.75,3.7
0.45,-280311.16,3.7
0.41,-280469.45,3.7
0.41,-280498.74,3.7
0.45,-280517.59,3.7
0.45,-280597.32,3.7
0.45,-280656.43,3.7
0.45,-280660.14,3.7
0.41,-280670.46,3.7
0.41,-280681.13,3.7
0.41,-280879.74,3.7
0.41,-281011.73,3.7
0.46,-281098.34,3.7
0.4,-281137.56,3.7
0.46,-281158.22,3.7
0.46,-281168.8,3.7
0.46,-281219.15,3.7
0.4,-281225.39,3.7
0.46,-281285.67,3.7
0.4,-281416.86,3.7
0.4,-281439.07,3.7
0.4,-281445.34,3.7
0.4,-281468.81,3.7
0.46,-281711.38,3.7
0.46,-281796.7,3.7
0.4,-281805.37,3.7
0.46,-281904.55,3.7
0.46,-282007.74,3.7
0.4,-282025.97,3.7
0.46,-282160.35,3.7
0.46,-282173.78,3.7
0.46,-282362.72,3.7
0.39,-282554.71,3.7
0.39,-282812.17,3.7
0.47,-282870.02,3.7
0.47,-282887.01,3.7
0.39,-282890.24,3.7
0.47,-282923.43,3.7
0.47,-282954.97,3.7
0.47,-283028.92,3.7
0.47,-283179.43,3.7
0.39,-283211.35,3.7
0.47,-283251.05,3.7
0.47,-283546.45,3.7
0.47,-283579.71,3.7
0.47,-283715.64,3.7
0.39,-283747.28,3.7
0.47,-283780.72,3.7
0.47,-283801.73,3.7
0.47,-283827.25,3.7
0.39,-283940.7,3.7
0.39,-283963.13,3.7
0.47,-284001.65,3.7
0.47,-284094.63,3.7
0.48,-284405.13,3.7
0.48,-284497.33,3.7
0.48,-284765.15,3.7
0.38,-284780.08,3.7
0.38,-284863.51,3.7
0.38,-285012.17,3.7
0.38,-285043.57,3.7
0.48,-285092.25,3.7
0.38,-285312.06,3.7
0.38,-285472.53,3.7
0.38,-285518.03,3.7
0.48,-285556.32,3.7
0.48,-285860.5,3.7
0.38,-285919.88,3.7
0.38,-286211.72,3.7
0.48,-286275.81,3.7
0.48,-286468.05,3.7
0.38,-286507.3,3.7
0.38,-286561.68,3.7
0.49,-286670.85,3.7
0.37,-286814.23,3.7
0.49,-287242.08,3.7
0.49,-287330.65,3.7
0.37,-287342.27,3.7
0.49,-287625.05,3.7
0.49,-287650.05,3.7
0.37,-287979.2,3.7
0.37,-287997.04,3.7
0.37,-288133.07,3.7
0.49,-288335.7,3.7
0.37,-288513.26,3.7
0.49,-288593.93,3.7
0.49,-288671.97,3.7
0.49,-288695.58,3.7
0.49,-288837.74,3.7
0.49,-288900.92,3.7
0.37,-288947.94,3.7
0.37,-288956.65,3.7
0.49,-289093.3,3.7
0.49,-289138.01,3.7
0.5,-289620.96,3.7
0.5,-289790.31,3.7
0.36,-289841.43,3.7
0.36,-289954.85,3.7
0.36,-290045.0,3.7
0.36,-290409.1,3.7
0.5,-290548.86,3.7
0.36,-290685.9,3.7
0.5,-290688.7,3.7
0.36,-290731.73,3.7
0.5,-290839.23,3.7
0.5,-290881.94,3.7
0.36,-290893.42,3.7
0.5,-291141.54,3.7
0.36,-291220.62,3.7
0.36,-291312.26,3.7
0.36,-291459.25,3.7
0.36,-291482.91,3.7
0.36,-291669.99,3.7
0.5,-292075.63,3.7
0.36,-292314.09,3.7
0.36,-292368.96,3.7
0.36,-292373.82,3.7
0.5,-292514.38,3.7
0.51,-292950.6,3.7
0.51,-293155.53,3.7
0.35,-293276.16,3.7
0.51,-293319.98,3.7
0.51,-293321.56,3.7
0.35,-293503.53,3.7
0.35,-293603.31,3.7
0.51,-294193.23,3.7
0.51,-294431.84,3.7
0.35,-294442.0,3.7
0.51,-294562.83,3.7
0.35,-294884.73,3.7
0.51,-294956.27,3.7
0.35,-295101.55,3.7
0.51,-295537.67,3.7
0.35,-295538.14,3.7
0.51,-295938.61,3.7
0.35,-296304.17,3.7
0.52,-296415.47,3.7
0.35,-296498.69,3.7
0.34,-296539.95,3.7
0.52,-296655.7,3.7
0.52,-297094.69,3.7
