Snow ratio,Log likelihood,Error std
0.29,-7089516.62,0.79
0.29,-7089533.25,0.79
0.29,-7089533.63,0.79
0.29,-7089609.9,0.79
0.29,-7089903.47,0.79
0.29,-7089904.23,0.79
0.29,-7090031.43,0.79
0.29,-7090071.82,0.79
0.29,-7090237.76,0.79
0.29,-7090249.75,0.79
0.28,-7090458.33,0.79
0.28,-7090542.0,0.79
0.29,-7090621.98,0.79
0.29,-7090708.35,0.79
0.29,-7090791.83,0.79
0.28,-7090806.73,0.79
0.29,-7091459.17,0.79
0.28,-7091566.57,0.79
0.3,-7091826.29,0.79
0.3,-7092160.44,0.79
0.3,-7092295.16,0.79
0.28,-7092551.86,0.79
0.3,-7092937.87,0.79
0.3,-7092938.56,0.79
0.28,-7093072.53,0.79
0.28,-7093890.66,0.79
0.28,-7094132.67,0.79
0.28,-7094718.17,0.79
0.28,-7095139.95,0.79
0.3,-7095262.51,0.79
0.3,-7095538.95,0.79
0.3,-7095699.56,0.79
0.3,-7096733.23,0.79
0.28,-7097060.51,0.79
0.28,-7097298.01,0.79
0.3,-7097301.2,0.79
0.3,-7097977.22,0.79
0.3,-7098705.66,0.79
0.3,-7098864.81,0.79
0.27,-7100366.54,0.79
0.27,-7100742.84,0.79
0.3,-7100923.66,0.79
0.27,-7100929.83,0.79
0.27,-7100963.46,0.79
0.31,-7104326.38,0.79
0.31,-7105881.76,0.79
0.31,-7106237.93,0.79
0.31,-7106501.92,0.79
0.31,-7108144.8,0.79
0.31,-7108162.17,0.79
0.27,-7109754.75,0.79
0.31,-7111662.71,0.79
0.31,-7112448.19,0.79
0.31,-7113627.23,0.79
0.31,-7114427.76,0.79
0.27,-7114817.08,0.79
0.31,-7116471.72,0.79
0.31,-7118145.43,0.79
0.26,-7118549.77,0.79
0.26,-7118938.84,0.79
0.26,-7122672.17,0.79
0.31,-7122885.24,0.79
0.32,-7126430.22,0.79
0.32,-7126555.71,0.79
0.32,-7127870.02,0.79
0.32,-7130020.82,0.79
0.26,-7130105.78,0.79
0.32,-7132578.68,0.79
0.26,-7133270.8,0.79
0.26,-7135046.47,0.79
0.32,-7135368.3,0.79
0.32,-7136138.76,0.79
0.32,-7137690.63,0.79
0.32,-7139912.22,0.79
0.26,-7141822.36,0.79
0.32,-7142892.71,0.79
0.26,-7143972.28,0.79
0.32,-7146240.98,0.79
0.32,-7146952.99,0.79
0.25,-7147109.51,0.79
0.25,-7147563.3,0.79
0.32,-7148943.38,0.79
0.25,-7152030.33,0.79
0.32,-7153517.59,0.79
0.25,-7154756.06,0.79
0.33,-7157619.38,0.79
0.25,-7159417.74,0.79
0.33,-7160838.41,0.79
0.25,-7162861.65,0.79
0.33,-7163298.31,0.79
0.33,-7166014.21,0.79
0.25,-7172607.82,0.79
0.25,-7177704.86,0.79
0.33,-7181766.56,0.79
0.33,-7186898.39,0.79
0.24,-7187279.18,0.79
0.33,-7190836.8,0.79
0.33,-7194388.48,0.79
0.24,-7198271.31,0.79
0.24,-7201003.98,0.79
0.24,-7202178.69,0.79
0.34,-7203545.87,0.79
0.34,-7204798.18,0.79
0.24,-7205796.88,0.79
0.24,-7212349.82,0.79
0.24,-7225670.54,0.79
0.34,-7226560.34,0.79
0.34,-7237332.94,0.79
0.23,-7238739.26,0.79
0.34,-7240335.2,0.79
0.34,-7243542.14,0.79
0.23,-7244953.56,0.79
0.34,-7246774.51,0.79
0.23,-7252323.55,0.79
0.23,-7255500.33,0.79
0.23,-7257325.28,0.79
0.35,-7258433.91,0.79
0.35,-7260002.48,0.79
0.35,-7260233.56,0.79
0.23,-7268141.63,0.79
0.23,-7272736.61,0.79
0.23,-7283075.39,0.79
0.35,-7286698.44,0.79
0.35,-7300013.99,0.79
0.22,-7301043.29,0.79
0.35,-7302864.23,0.79
0.35,-7306216.14,0.79
0.35,-7306294.01,0.79
0.35,-7308349.66,0.79
0.22,-7312350.4,0.79
0.35,-7312816.17,0.79
0.35,-7313186.36,0.79
0.35,-7314883.52,0.79
0.22,-7316643.5,0.79
0.36,-7317127.67,0.79
0.36,-7326811.61,0.79
0.22,-7328561.59,0.79
0.22,-7336418.77,0.79
0.22,-7341635.19,0.79
0.36,-7344845.87,0.79
0.36,-7345517.87,0.79
0.36,-7349229.5,0.79
0.22,-7349498.25,0.79
0.22,-7354494.83,0.79
0.36,-7356856.1,0.79
0.22,-7361707.11,0.79
0.36,-7364872.82,0.79
0.36,-7368739.46,0.79
0.36,-7370276.28,0.79
0.36,-7372576.17,0.79
0.36,-7374023.46,0.79
0.36,-7382702.49,0.79
0.21,-7383583.68,0.79
0.21,-7385280.13,0.79
0.21,-7385824.6,0.79
0.36,-7385941.72,0.79
0.21,-7387077.79,0.79
0.21,-7390224.3,0.79
0.37,-7392830.7,0.79
0.37,-7396983.79,0.79
0.37,-7397826.59,0.79
0.21,-7400278.93,0.79
0.21,-7404051.87,0.79
0.21,-7414183.07,0.79
0.21,-7419525.73,0.79
0.21,-7425289.15,0.79
0.37,-7426523.56,0.79
0.37,-7428446.32,0.79
0.37,-7429154.48,0.79
0.37,-7429513.49,0.79
0.21,-7432867.45,0.79
0.37,-7433594.52,0.79
0.21,-7435127.89,0.79
0.37,-7438108.0,0.79
0.21,-7438297.99,0.79
0.37,-7442032.55,0.79
0.37,-7447773.74,0.79
0.37,-7448491.79,0.79
0.37,-7455903.76,0.79
0.2,-7457944.46,0.79
0.37,-7466758.76,0.79
0.2,-7468286.75,0.79
0.2,-7468764.59,0.79
0.2,-7469877.34,0.79
