Snow ratio,Log likelihood,Error std
0.31,-539017.64,2.94
0.31,-539020.75,2.94
0.31,-539022.81,2.94
0.31,-539024.56,2.94
0.31,-539027.84,2.94
0.31,-539033.93,2.94
0.31,-539039.32,2.94
0.31,-539044.82,2.94
0.31,-539061.16,2.94
0.31,-539061.47,2.94
0.3,-539091.27,2.94
0.3,-539097.21,2.94
0.3,-539131.49,2.94
0.3,-539162.28,2.94
0.3,-539189.98,2.94
0.3,-539191.82,2.94
0.32,-539239.66,2.94
0.32,-539247.98,2.94
0.32,-539250.4,2.94
0.32,-539267.73,2.94
0.3,-539289.45,2.94
0.3,-539316.75,2.94
0.32,-539316.8,2.94
0.32,-539325.25,2.94
0.3,-539358.95,2.94
0.3,-539486.44,2.94
0.32,-539537.55,2.94
0.3,-539600.14,2.94
0.3,-539717.48,2.94
0.29,-539775.44,2.94
0.32,-539781.57,2.94
0.29,-539821.91,2.94
0.32,-539828.36,2.94
0.32,-539850.26,2.94
0.29,-540035.78,2.94
0.29,-540188.48,2.94
0.29,-540322.94,2.94
0.29,-540333.25,2.94
0.29,-540343.67,2.94
0.29,-540355.14,2.94
0.29,-540546.62,2.94
0.29,-540603.08,2.94
0.33,-540730.3,2.94
0.29,-540767.44,2.94
0.29,-540778.9,2.94
0.28,-541182.03,2.94
0.33,-541346.83,2.94
0.33,-541370.67,2.94
0.34,-541492.47,2.94
0.34,-541502.29,2.94
0.34,-541566.25,2.94
0.34,-541674.7,2.94
0.28,-541860.47,2.94
0.34,-541881.61,2.94
0.28,-542007.23,2.94
0.28,-542119.37,2.94
0.34,-542369.62,2.94
0.34,-542466.12,2.94
0.28,-542470.8,2.94
0.28,-542528.27,2.94
0.34,-542532.17,2.94
0.34,-542856.39,2.94
0.27,-543314.69,2.94
0.34,-543658.2,2.94
0.34,-543698.43,2.94
0.35,-544113.61,2.94
0.27,-544153.1,2.94
0.27,-544162.97,2.94
0.27,-544222.01,2.94
0.35,-544243.4,2.94
0.27,-544302.62,2.94
0.27,-544509.71,2.94
0.27,-544525.14,2.94
0.27,-544729.38,2.94
0.27,-544961.2,2.94
0.27,-544998.85,2.94
0.35,-545042.02,2.94
0.35,-545055.78,2.94
0.35,-545114.54,2.94
0.27,-545343.95,2.94
0.35,-546107.9,2.94
0.27,-546147.72,2.94
0.35,-546515.99,2.94
0.35,-546516.51,2.94
0.35,-546653.9,2.94
0.36,-546778.09,2.94
0.26,-546823.53,2.94
0.26,-546866.97,2.94
0.26,-547013.03,2.94
0.36,-547795.69,2.94
0.26,-547988.1,2.94
0.26,-548497.11,2.94
0.36,-548498.46,2.94
0.36,-548840.27,2.94
0.36,-548917.87,2.94
0.36,-549382.58,2.94
0.26,-549571.63,2.94
0.26,-549777.64,2.94
0.36,-550178.79,2.94
0.37,-550526.86,2.94
0.25,-550598.35,2.94
0.37,-550857.72,2.94
0.25,-550884.07,2.94
0.25,-551012.07,2.94
0.25,-551035.49,2.94
0.25,-551877.92,2.94
0.25,-552515.61,2.94
0.25,-552909.39,2.94
0.25,-553257.17,2.94
0.37,-554317.93,2.94
0.37,-554357.46,2.94
0.37,-554505.58,2.94
0.24,-554666.69,2.94
0.24,-554903.45,2.94
0.37,-554959.69,2.94
0.38,-555024.49,2.94
0.38,-555294.72,2.94
0.38,-555348.54,2.94
0.24,-556492.87,2.94
0.38,-556898.64,2.94
0.38,-557231.64,2.94
0.24,-557272.97,2.94
0.24,-557286.22,2.94
0.38,-557519.77,2.94
0.38,-557674.67,2.94
0.24,-558858.03,2.94
0.24,-558968.89,2.94
0.24,-559109.28,2.94
0.23,-559375.25,2.94
0.23,-559490.58,2.94
0.23,-559719.7,2.94
0.38,-559744.04,2.94
0.23,-560011.56,2.94
0.23,-560110.01,2.94
0.23,-560258.95,2.94
0.23,-560786.25,2.94
0.39,-560791.19,2.94
0.23,-560810.16,2.94
0.39,-560976.31,2.94
0.39,-561148.66,2.94
0.39,-561209.02,2.94
0.23,-561455.55,2.94
0.39,-562023.1,2.94
0.39,-562920.9,2.94
0.23,-563053.73,2.94
0.39,-563187.24,2.94
0.39,-563321.26,2.94
0.39,-563515.99,2.94
0.39,-563648.29,2.94
0.39,-563846.4,2.94
0.39,-564142.96,2.94
0.39,-564487.89,2.94
0.39,-564659.95,2.94
0.39,-565201.42,2.94
0.22,-565499.35,2.94
0.22,-565777.01,2.94
0.39,-565921.64,2.94
0.22,-566184.95,2.94
0.22,-566289.62,2.94
0.4,-566391.26,2.94
0.4,-567113.04,2.94
0.22,-567191.58,2.94
0.4,-567336.76,2.94
0.22,-567782.45,2.94
0.4,-568275.97,2.94
0.4,-568326.93,2.94
0.22,-568436.14,2.94
0.22,-568889.61,2.94
0.22,-569786.05,2.94
0.4,-569846.39,2.94
0.4,-569948.06,2.94
0.22,-570184.16,2.94
0.22,-570316.53,2.94
0.22,-570349.91,2.94
0.22,-570550.9,2.94
0.22,-570907.35,2.94
0.22,-570979.57,2.94
0.4,-571236.06,2.94
0.4,-571377.24,2.94
0.21,-572031.95,2.94
0.21,-572152.12,2.94
0.21,-572299.63,2.94
0.4,-572528.34,2.94
0.21,-573277.02,2.94
0.41,-573450.26,2.94
0.41,-573640.65,2.94
0.41,-573916.51,2.94
0.41,-574274.57,2.94
0.41,-574584.23,2.94
0.21,-574606.14,2.94
0.41,-575874.93,2.94
0.21,-576433.63,2.94
0.41,-576492.01,2.94
0.41,-577240.64,2.94
0.41,-577345.39,2.94
0.41,-577365.57,2.94
0.21,-578125.5,2.94
0.21,-578320.97,2.94
0.41,-578373.49,2.94
0.41,-578416.88,2.94
0.41,-578439.12,2.94
0.2,-579599.51,2.94
0.41,-579602.32,2.94
0.2,-579785.55,2.94
0.2,-580435.14,2.94
0.2,-580506.15,2.94
0.42,-580748.77,2.94
0.2,-581613.58,2.94
0.42,-581827.02,2.94
0.2,-582309.88,2.94
0.42,-583258.8,2.94
