Snow ratio,Log likelihood,Error std
0.44,-1269154.95,3.7
0.44,-1269156.24,3.7
0.44,-1269171.9,3.7
0.44,-1269197.42,3.7
0.44,-1269226.57,3.7
0.44,-1269233.67,3.7
0.43,-1269250.7,3.7
0.43,-1269286.87,3.7
0.43,-1269364.6,3.7
0.44,-1269388.98,3.7
0.44,-1269425.98,3.7
0.43,-1269512.23,3.7
0.43,-1269600.24,3.7
0.43,-1269604.08,3.7
0.43,-1269677.96,3.7
0.45,-1269953.72,3.7
0.43,-1269988.03,3.7
0.45,-1269996.26,3.7
0.45,-1270059.03,3.7
0.45,-1270137.06,3.7
0.43,-1270228.15,3.7
0.45,-1270258.17,3.7
0.43,-1270336.13,3.7
0.43,-1270374.13,3.7
0.45,-1270421.33,3.7
0.42,-1270988.0,3.7
0.45,-1271020.71,3.7
0.42,-1271065.65,3.7
0.45,-1271262.23,3.7
0.45,-1271444.31,3.7
0.45,-1271455.83,3.7
0.42,-1271560.58,3.7
0.42,-1272568.58,3.7
0.42,-1272574.23,3.7
0.42,-1272855.65,3.7
0.46,-1272868.64,3.7
0.46,-1273068.55,3.7
0.46,-1273104.01,3.7
0.46,-1273273.31,3.7
0.42,-1273486.65,3.7
0.46,-1273498.37,3.7
0.42,-1274241.95,3.7
0.41,-1274843.51,3.7
0.46,-1274970.45,3.7
0.41,-1275253.81,3.7
0.46,-1275271.16,3.7
0.46,-1275653.65,3.7
0.46,-1276021.89,3.7
0.41,-1276519.89,3.7
0.46,-1276570.26,3.7
0.46,-1276618.71,3.7
0.41,-1276698.59,3.7
0.46,-1277303.86,3.7
0.41,-1277732.68,3.7
0.41,-1277796.26,3.7
0.41,-1278967.23,3.7
0.47,-1279170.32,3.7
0.47,-1279233.41,3.7
0.47,-1279368.83,3.7
0.47,-1279486.22,3.7
0.41,-1279734.2,3.7
0.47,-1279761.93,3.7
0.47,-1280325.02,3.7
0.4,-1280458.24,3.7
0.47,-1280593.82,3.7
0.4,-1280960.04,3.7
0.47,-1281708.16,3.7
0.47,-1281834.2,3.7
0.4,-1282044.74,3.7
0.4,-1282169.79,3.7
0.4,-1282205.12,3.7
0.4,-1282337.05,3.7
0.47,-1282350.18,3.7
0.47,-1282597.82,3.7
0.47,-1282677.86,3.7
0.47,-1282775.12,3.7
0.47,-1283441.18,3.7
0.47,-1283797.3,3.7
0.4,-1284213.56,3.7
0.48,-1284991.29,3.7
0.48,-1285347.14,3.7
0.4,-1285429.34,3.7
0.48,-1286384.13,3.7
0.48,-1287656.75,3.7
0.39,-1288306.76,3.7
0.48,-1289472.71,3.7
0.39,-1289692.42,3.7
0.39,-1290110.86,3.7
0.48,-1290669.04,3.7
0.39,-1291824.34,3.7
0.48,-1292309.47,3.7
0.48,-1293071.38,3.7
0.49,-1293876.74,3.7
0.39,-1294660.01,3.7
0.39,-1295676.93,3.7
0.39,-1295794.7,3.7
0.49,-1296153.81,3.7
0.49,-1296507.95,3.7
0.49,-1297686.93,3.7
0.49,-1297787.19,3.7
0.38,-1300057.06,3.7
0.38,-1300489.8,3.7
0.49,-1300544.3,3.7
0.38,-1301259.8,3.7
0.38,-1301422.29,3.7
0.49,-1301586.28,3.7
0.49,-1301901.55,3.7
0.49,-1301996.97,3.7
0.49,-1302571.75,3.7
0.38,-1302809.29,3.7
0.49,-1302827.41,3.7
0.49,-1303606.44,3.7
0.38,-1303636.38,3.7
0.49,-1303787.61,3.7
0.38,-1303870.68,3.7
0.5,-1305747.89,3.7
0.38,-1305935.17,3.7
0.5,-1306436.59,3.7
0.38,-1307429.78,3.7
0.38,-1308939.67,3.7
0.38,-1309217.07,3.7
0.5,-1309529.26,3.7
0.5,-1310100.72,3.7
0.37,-1310503.85,3.7
0.5,-1310716.31,3.7
0.5,-1310891.03,3.7
0.5,-1311953.95,3.7
0.37,-1313186.44,3.7
0.5,-1315788.67,3.7
0.37,-1316409.53,3.7
0.37,-1316499.61,3.7
0.37,-1317186.21,3.7
0.5,-1317595.08,3.7
0.37,-1319102.36,3.7
0.51,-1319394.16,3.7
0.51,-1320240.34,3.7
0.51,-1320919.82,3.7
0.51,-1320926.33,3.7
0.37,-1321288.23,3.7
0.37,-1321331.98,3.7
0.51,-1324534.45,3.7
0.51,-1325523.94,3.7
0.36,-1325766.19,3.7
0.51,-1326067.45,3.7
0.36,-1326333.3,3.7
0.36,-1326783.86,3.7
0.51,-1327701.23,3.7
0.36,-1328601.68,3.7
0.36,-1329981.78,3.7
0.51,-1330119.08,3.7
0.36,-1330210.15,3.7
0.36,-1331015.46,3.7
0.51,-1331788.72,3.7
0.36,-1332643.56,3.7
0.36,-1333099.17,3.7
0.52,-1333776.92,3.7
0.36,-1333829.67,3.7
0.36,-1333947.23,3.7
0.52,-1334779.47,3.7
0.36,-1334876.3,3.7
0.52,-1336613.05,3.7
0.36,-1338070.36,3.7
0.36,-1338342.12,3.7
0.36,-1338366.2,3.7
0.52,-1340478.7,3.7
0.52,-1340484.89,3.7
0.52,-1341875.94,3.7
0.35,-1342828.7,3.7
0.52,-1343763.1,3.7
0.35,-1343951.22,3.7
0.52,-1344182.14,3.7
0.35,-1344443.61,3.7
0.52,-1346094.35,3.7
0.52,-1347612.17,3.7
0.35,-1348576.73,3.7
0.52,-1348847.77,3.7
0.52,-1349039.89,3.7
0.35,-1350754.82,3.7
0.53,-1351819.97,3.7
0.35,-1351820.58,3.7
0.53,-1352347.62,3.7
0.35,-1353964.91,3.7
0.53,-1354645.64,3.7
0.35,-1357721.96,3.7
0.35,-1358674.98,3.7
0.34,-1358877.06,3.7
0.53,-1359643.95,3.7
0.53,-1363895.96,3.7
0.34,-1364925.95,3.7
0.53,-1367647.68,3.7
0.53,-1369040.42,3.7
0.53,-1369617.49,3.7
0.54,-1370127.29,3.7
0.54,-1371170.64,3.7
0.54,-1371829.28,3.7
0.54,-1374291.94,3.7
0.54,-1376778.5,3.7
0.54,-1377047.09,3.7
0.54,-1377159.6,3.7
0.54,-1378834.33,3.7
0.33,-1379623.93,3.7
0.54,-1380520.48,3.7
0.54,-1380839.09,3.7
0.33,-1381337.27,3.7
0.54,-1382253.57,3.7
0.54,-1382505.01,3.7
0.54,-1385027.99,3.7
0.33,-1386191.22,3.7
0.54,-1386270.35,3.7
0.54,-1386610.97,3.7
0.54,-1386694.05,3.7
0.33,-1387180.88,3.7
0.33,-1388072.75,3.7
0.54,-1388773.26,3.7
0.54,-1389826.55,3.7
0.54,-1391497.15,3.7
0.33,-1394345.53,3.7
0.33,-1396355.07,3.7
0.33,-1397968.65,3.7
0.55,-1402370.11,3.7
0.32,-1402866.2,3.7
0.32,-1406534.31,3.7
0.32,-1407543.35,3.7
0.32,-1408089.94,3.7
0.32,-1408610.08,3.7
0.32,-1409014.76,3.7
0.32,-1409313.28,3.7
0.32,-1409687.51,3.7
0.55,-1413301.98,3.7
0.55,-1414882.7,3.7
0.32,-1416765.27,3.7
0.32,-1418056.4,3.7
0.56,-1418380.32,3.7
0.56,-1418623.65,3.7
0.32,-1419159.9,3.7
0.56,-1419228.84,3.7
0.56,-1419458.42,3.7
0.56,-1421907.61,3.7
0.56,-1422500.83,3.7
0.56,-1422630.28,3.7
0.56,-1422786.6,3.7
0.32,-1425898.46,3.7
0.31,-1427212.08,3.7
0.56,-1429624.25,3.7
0.56,-1431096.37,3.7
0.56,-1433373.36,3.7
0.56,-1433402.61,3.7
0.31,-1435283.36,3.7
0.56,-1436409.83,3.7
0.56,-1440405.16,3.7
0.31,-1440840.7,3.7
0.56,-1441266.22,3.7
0.31,-1443641.72,3.7
0.31,-1444942.12,3.7
0.57,-1445554.95,3.7
0.57,-1448202.67,3.7
0.31,-1448486.67,3.7
0.57,-1448749.24,3.7
0.31,-1450560.81,3.7
0.31,-1451050.18,3.7
0.57,-1451258.09,3.7
0.57,-1452219.94,3.7
0.31,-1452591.05,3.7
0.3,-1455836.37,3.7
0.57,-1456716.5,3.7
0.3,-1456819.22,3.7
0.3,-1456932.31,3.7
0.3,-1457832.25,3.7
0.57,-1458089.01,3.7
0.3,-1460008.56,3.7
0.3,-1460269.07,3.7
0.3,-1460948.68,3.7
0.3,-1462959.88,3.7
0.3,-1463292.55,3.7
0.57,-1465628.68,3.7
0.3,-1467026.12,3.7
0.3,-1467058.25,3.7
0.57,-1468843.39,3.7
0.3,-1473622.81,3.7
0.3,-1477270.63,3.7
0.3,-1477931.1,3.7
0.58,-1478926.25,3.7
0.58,-1480792.8,3.7
0.58,-1481198.5,3.7
0.3,-1481939.53,3.7
0.3,-1482123.18,3.7
0.29,-1484053.08,3.7
0.29,-1484284.27,3.7
0.58,-1485108.96,3.7
0.58,-1485763.26,3.7
0.58,-1488166.71,3.7
0.58,-1488578.35,3.7
0.58,-1490384.52,3.7
0.58,-1490390.75,3.7
0.58,-1491287.55,3.7
0.29,-1492246.41,3.7
0.58,-1493573.57,3.7
0.58,-1493739.53,3.7
0.58,-1495978.71,3.7
0.58,-1496635.07,3.7
0.59,-1501822.08,3.7
0.29,-1504421.43,3.7
0.59,-1505941.49,3.7
0.59,-1509338.23,3.7
0.29,-1513288.09,3.7
0.59,-1513555.87,3.7
0.59,-1514276.12,3.7
0.59,-1515684.37,3.7
0.59,-1516229.59,3.7
0.28,-1519279.09,3.7
0.28,-1520108.85,3.7
0.28,-1523284.25,3.7
0.59,-1523758.2,3.7
0.59,-1524938.84,3.7
0.59,-1526211.0,3.7
0.28,-1529236.56,3.7
0.59,-1530934.34,3.7
0.28,-1535222.87,3.7
0.6,-1538504.82,3.7
0.6,-1546106.28,3.7
0.27,-1550363.78,3.7
0.27,-1552118.76,3.7
0.6,-1552313.12,3.7
0.27,-1556354.34,3.7
0.27,-1557767.95,3.7
0.6,-1557863.42,3.7
0.6,-1558233.92,3.7
0.6,-1559314.36,3.7
0.27,-1563470.42,3.7
0.27,-1564280.98,3.7
0.27,-1567053.03,3.7
0.61,-1567823.76,3.7
0.61,-1569754.69,3.7
0.61,-1573045.43,3.7
0.27,-1573662.72,3.7
0.27,-1575263.77,3.7
0.27,-1576739.05,3.7
0.27,-1577924.19,3.7
0.61,-1578756.23,3.7
0.61,-1579180.68,3.7
0.61,-1580610.51,3.7
0.27,-1580810.9,3.7
0.26,-1585012.66,3.7
0.26,-1585354.46,3.7
0.61,-1586330.76,3.7
0.26,-1588314.7,3.7
0.61,-1590689.87,3.7
0.26,-1591798.8,3.7
0.61,-1595941.03,3.7
0.61,-1596779.69,3.7
0.26,-1597291.6,3.7
0.26,-1599702.66,3.7
0.26,-1602385.31,3.7
0.26,-1602720.83,3.7
0.26,-1608018.4,3.7
0.26,-1609548.26,3.7
0.26,-1613555.47,3.7
0.26,-1615863.66,3.7
0.26,-1616149.43,3.7
0.62,-1617394.89,3.7
0.26,-1617918.28,3.7
0.26,-1618461.41,3.7
0.62,-1618646.94,3.7
0.25,-1620582.06,3.7
0.62,-1620888.53,3.7
0.25,-1621928.57,3.7
0.25,-1622449.8,3.7
0.25,-1623714.25,3.7
0.25,-1624085.16,3.7
0.25,-1624965.72,3.7
0.62,-1627432.59,3.7
0.62,-1630140.78,3.7
0.25,-1630511.66,3.7
0.25,-1630678.06,3.7
0.62,-1631811.35,3.7
0.25,-1635511.43,3.7
0.25,-1639680.36,3.7
0.62,-1639991.28,3.7
0.63,-1641384.91,3.7
0.25,-1643531.95,3.7
0.25,-1648230.74,3.7
0.63,-1650447.0,3.7
0.25,-1650710.91,3.7
0.63,-1655461.61,3.7
0.25,-1656248.51,3.7
0.25,-1658514.04,3.7
0.63,-1659403.42,3.7
0.63,-1660307.04,3.7
0.63,-1660502.22,3.7
0.63,-1661633.69,3.7
0.24,-1662380.91,3.7
0.63,-1662413.76,3.7
0.24,-1663855.42,3.7
0.24,-1664709.28,3.7
0.24,-1664797.4,3.7
0.24,-1665568.76,3.7
0.63,-1668275.4,3.7
0.63,-1669926.67,3.7
0.63,-1672288.02,3.7
0.63,-1673173.48,3.7
0.63,-1674979.05,3.7
0.63,-1678238.89,3.7
0.63,-1679581.18,3.7
0.24,-1679924.84,3.7
0.63,-1681122.29,3.7
0.24,-1684961.76,3.7
0.24,-1685281.82,3.7
0.24,-1686786.41,3.7
0.24,-1687615.56,3.7
0.64,-1688055.54,3.7
0.24,-1689275.94,3.7
0.64,-1691373.53,3.7
0.64,-1691905.24,3.7
0.64,-1695932.89,3.7
0.64,-1697498.25,3.7
0.64,-1698128.78,3.7
0.64,-1698207.19,3.7
0.23,-1700408.38,3.7
0.23,-1701039.52,3.7
0.64,-1703358.99,3.7
0.64,-1706209.69,3.7
0.64,-1708993.38,3.7
0.64,-1711552.89,3.7
0.64,-1711661.86,3.7
0.64,-1711695.42,3.7
0.23,-1711875.37,3.7
0.23,-1712030.62,3.7
0.23,-1714856.21,3.7
0.23,-1717014.27,3.7
0.64,-1718594.25,3.7
0.23,-1724247.05,3.7
0.23,-1724389.57,3.7
0.23,-1725192.97,3.7
0.65,-1725338.55,3.7
0.23,-1726236.61,3.7
0.65,-1732974.2,3.7
0.23,-1733065.26,3.7
0.23,-1734161.83,3.7
0.23,-1734983.8,3.7
0.65,-1738080.8,3.7
0.65,-1744930.84,3.7
0.65,-1745851.91,3.7
0.22,-1746028.81,3.7
0.65,-1747236.48,3.7
0.65,-1752694.47,3.7
0.65,-1752921.42,3.7
0.65,-1755930.53,3.7
0.65,-1757319.27,3.7
0.22,-1758526.24,3.7
0.22,-1762066.99,3.7
0.22,-1763654.77,3.7
0.22,-1766522.43,3.7
0.22,-1768432.45,3.7
0.66,-1772942.92,3.7
0.66,-1775739.59,3.7
0.66,-1780479.67,3.7
0.66,-1780883.87,3.7
0.66,-1782491.18,3.7
0.66,-1785918.56,3.7
0.22,-1787319.32,3.7
0.21,-1792292.9,3.7
0.21,-1793874.53,3.7
0.66,-1796664.46,3.7
0.66,-1797242.31,3.7
0.66,-1799070.66,3.7
0.21,-1801325.33,3.7
0.21,-1805937.86,3.7
0.21,-1808237.05,3.7
0.66,-1811981.28,3.7
0.21,-1813144.84,3.7
0.66,-1813218.01,3.7
0.66,-1813910.57,3.7
0.21,-1817740.35,3.7
0.21,-1820314.06,3.7
0.21,-1823508.38,3.7
0.21,-1827394.34,3.7
0.21,-1827584.94,3.7
0.21,-1827591.99,3.7
0.67,-1834681.67,3.7
0.21,-1834856.78,3.7
0.2,-1837718.34,3.7
0.2,-1840523.37,3.7
0.2,-1842419.39,3.7
0.67,-1854129.81,3.7
0.67,-1856435.42,3.7
0.2,-1860248.05,3.7
0.67,-1861200.7,3.7
0.2,-1874734.1,3.7
0.68,-1879303.27,3.7
0.2,-1887023.77,3.7
0.2,-1887475.93,3.7
0.19,-1889055.16,3.7
0.68,-1890688.7,3.7
0.68,-1891533.59,3.7
0.68,-1892636.77,3.7
0.19,-1898177.02,3.7
0.68,-1899797.28,3.7
0.68,-1901603.59,3.7
0.68,-1903037.32,3.7
0.68,-1906532.08,3.7
0.19,-1907628.85,3.7
0.19,-1911458.36,3.7
0.68,-1912371.53,3.7
0.68,-1914965.17,3.7
0.19,-1919536.37,3.7
0.19,-1920329.5,3.7
0.19,-1920790.78,3.7
0.69,-1924403.84,3.7
0.19,-1928822.34,3.7
0.19,-1932585.36,3.7
0.69,-1941108.48,3.7
0.18,-1948194.03,3.7
0.18,-1948821.95,3.7
0.18,-1950182.11,3.7
0.18,-1950397.57,3.7
0.18,-1954067.45,3.7
0.18,-1954169.45,3.7
0.69,-1954760.87,3.7
0.18,-1958889.58,3.7
0.18,-1959273.63,3.7
0.69,-1960142.09,3.7
0.18,-1963088.32,3.7
0.18,-1967358.2,3.7
0.18,-1968327.38,3.7
0.18,-1969172.29,3.7
0.18,-1969317.71,3.7
0.7,-1972328.46,3.7
0.18,-1980447.37,3.7
0.7,-1983040.21,3.7
0.7,-1988552.01,3.7
0.7,-1994528.25,3.7
0.7,-1995893.87,3.7
0.17,-1996160.2,3.7
0.7,-2004005.34,3.7
0.7,-2009766.98,3.7
0.17,-2011657.49,3.7
0.7,-2016309.93,3.7
0.17,-2017340.52,3.7
0.17,-2019302.89,3.7
0.17,-2025196.98,3.7
0.17,-2029044.65,3.7
