Snow ratio,Log likelihood,Error std
0.33,-51052193.74,0.59
0.34,-51052260.02,0.59
0.34,-51057091.62,0.59
0.34,-51058631.51,0.59
0.34,-51059937.96,0.59
0.34,-51064150.88,0.59
0.33,-51066450.62,0.59
0.34,-51067691.07,0.59
0.34,-51069624.12,0.59
0.34,-51073253.08,0.59
0.34,-51073957.06,0.59
0.33,-51074750.29,0.59
0.33,-51078631.63,0.59
0.34,-51080070.05,0.59
0.34,-51080774.73,0.59
0.34,-51082120.89,0.59
0.33,-51082151.93,0.59
0.34,-51086296.01,0.59
0.34,-51088364.17,0.59
0.32,-51093829.75,0.59
0.32,-51096693.26,0.59
0.35,-51097134.69,0.59
0.32,-51102236.03,0.59
0.32,-51104863.77,0.59
0.35,-51105836.67,0.59
0.32,-51105940.01,0.59
0.35,-51108880.28,0.59
0.32,-51120140.51,0.59
0.32,-51124229.5,0.59
0.32,-51131926.08,0.59
0.35,-51139784.57,0.59
0.32,-51141317.26,0.59
0.35,-51146834.76,0.59
0.32,-51160879.53,0.59
0.35,-51161774.56,0.59
0.32,-51162293.22,0.59
0.32,-51165768.94,0.59
0.32,-51170405.72,0.59
0.35,-51179014.1,0.59
0.35,-51181479.24,0.59
0.32,-51186061.21,0.59
0.35,-51208488.9,0.59
0.32,-51209007.74,0.59
0.36,-51215124.74,0.59
0.32,-51216461.52,0.59
0.31,-51218452.74,0.59
0.31,-51224083.07,0.59
0.31,-51246535.06,0.59
0.36,-51251666.63,0.59
0.36,-51264402.64,0.59
0.36,-51284347.56,0.59
0.36,-51301931.53,0.59
0.31,-51307577.19,0.59
0.36,-51309207.31,0.59
0.31,-51313254.59,0.59
0.31,-51344735.36,0.59
0.31,-51372583.26,0.59
0.36,-51376806.53,0.59
0.31,-51380898.49,0.59
0.36,-51384826.54,0.59
0.31,-51410748.38,0.59
0.36,-51413130.86,0.59
0.37,-51433473.78,0.59
0.3,-51438525.58,0.59
0.37,-51442219.29,0.59
0.37,-51444016.77,0.59
0.37,-51478058.95,0.59
0.3,-51482602.54,0.59
0.37,-51484149.56,0.59
0.37,-51491448.08,0.59
0.37,-51520811.16,0.59
0.3,-51524774.46,0.59
0.3,-51542256.89,0.59
0.3,-51542981.55,0.59
0.37,-51546500.04,0.59
0.3,-51560517.52,0.59
0.3,-51563586.79,0.59
0.3,-51573120.71,0.59
0.37,-51589627.76,0.59
0.37,-51597952.07,0.59
0.37,-51598125.65,0.59
0.3,-51603837.42,0.59
0.37,-51610631.99,0.59
0.3,-51623234.45,0.59
0.3,-51628272.94,0.59
0.3,-51649469.48,0.59
0.37,-51654822.44,0.59
0.3,-51655981.06,0.59
