Snow ratio,Log likelihood,Error std
0.29,-707362.15,2.85
0.29,-707362.4,2.85
0.29,-707366.46,2.85
0.28,-707379.15,2.85
0.29,-707380.75,2.85
0.28,-707406.37,2.85
0.28,-707420.09,2.85
0.29,-707422.67,2.85
0.28,-707466.54,2.85
0.29,-707513.52,2.85
0.28,-707583.17,2.85
0.29,-707598.41,2.85
0.28,-707747.88,2.85
0.29,-707766.52,2.85
0.3,-707780.28,2.85
0.28,-707899.76,2.85
0.3,-708025.72,2.85
0.28,-708092.8,2.85
0.28,-708144.27,2.85
0.3,-708151.83,2.85
0.3,-708198.44,2.85
0.27,-708292.61,2.85
0.3,-708297.03,2.85
0.3,-708464.53,2.85
0.3,-708566.95,2.85
0.27,-708706.55,2.85
0.27,-708722.03,2.85
0.27,-708747.06,2.85
0.27,-708845.16,2.85
0.27,-708868.53,2.85
0.27,-708879.53,2.85
0.27,-708885.48,2.85
0.27,-708892.17,2.85
0.3,-709090.95,2.85
0.3,-709098.78,2.85
0.3,-709127.07,2.85
0.27,-709148.6,2.85
0.27,-709186.57,2.85
0.27,-709270.28,2.85
0.27,-709374.4,2.85
0.31,-709594.93,2.85
0.31,-709727.72,2.85
0.31,-709744.99,2.85
0.31,-709754.67,2.85
0.31,-709864.39,2.85
0.27,-709868.6,2.85
0.27,-709898.88,2.85
0.31,-709929.87,2.85
0.27,-709975.49,2.85
0.31,-710302.43,2.85
0.31,-710346.21,2.85
0.26,-710514.7,2.85
0.31,-710526.1,2.85
0.31,-710636.3,2.85
0.31,-710972.94,2.85
0.31,-711051.06,2.85
0.31,-711058.78,2.85
0.26,-711113.51,2.85
0.31,-711362.46,2.85
0.26,-711384.76,2.85
0.26,-711594.66,2.85
0.31,-711700.14,2.85
0.26,-711845.35,2.85
0.26,-711929.81,2.85
0.32,-712316.25,2.85
0.32,-712425.88,2.85
0.32,-712519.27,2.85
0.26,-712733.1,2.85
0.32,-712853.96,2.85
0.26,-712953.6,2.85
0.32,-713310.17,2.85
0.32,-713332.72,2.85
0.25,-713368.08,2.85
0.32,-713410.95,2.85
0.25,-713694.16,2.85
0.32,-713854.93,2.85
0.32,-714214.93,2.85
0.32,-714354.48,2.85
0.32,-714405.44,2.85
0.32,-714536.72,2.85
0.32,-714538.46,2.85
0.25,-714930.87,2.85
0.25,-715851.61,2.85
0.33,-716080.8,2.85
0.25,-716144.0,2.85
0.25,-716145.05,2.85
0.33,-716163.24,2.85
0.25,-716216.24,2.85
0.33,-716433.73,2.85
0.33,-716545.48,2.85
0.25,-716684.53,2.85
0.33,-716816.09,2.85
0.33,-716975.14,2.85
0.25,-717126.25,2.85
0.33,-717445.99,2.85
0.25,-717498.33,2.85
0.33,-717797.13,2.85
0.33,-717979.6,2.85
0.24,-718416.63,2.85
0.33,-718432.53,2.85
0.33,-718650.41,2.85
0.33,-719106.12,2.85
0.24,-719215.58,2.85
0.24,-719555.13,2.85
0.33,-719696.23,2.85
0.24,-719908.42,2.85
0.24,-720258.07,2.85
0.33,-720524.46,2.85
0.33,-720787.18,2.85
0.33,-720958.58,2.85
0.24,-721170.04,2.85
0.24,-721248.82,2.85
0.24,-721427.33,2.85
0.34,-721680.44,2.85
0.24,-721824.64,2.85
0.24,-722243.06,2.85
0.34,-722396.47,2.85
0.24,-722476.53,2.85
0.34,-722760.19,2.85
0.24,-722891.12,2.85
0.23,-723203.16,2.85
0.34,-723763.14,2.85
0.23,-724313.07,2.85
0.34,-724449.04,2.85
0.23,-724484.08,2.85
0.34,-724875.77,2.85
0.34,-724879.51,2.85
0.23,-724886.79,2.85
0.23,-724905.69,2.85
0.23,-724959.56,2.85
0.23,-724991.06,2.85
0.23,-725427.8,2.85
0.34,-725996.31,2.85
0.23,-726511.38,2.85
0.34,-726575.36,2.85
0.23,-726807.71,2.85
0.23,-727181.61,2.85
0.34,-727189.12,2.85
0.23,-727751.59,2.85
0.35,-728199.52,2.85
