Snow ratio,Log likelihood,Error std
0.25,-610524.75,3.26
0.25,-610528.71,3.26
0.25,-610535.85,3.26
0.26,-610541.24,3.26
0.26,-610549.95,3.26
0.25,-610570.74,3.26
0.25,-610586.87,3.26
0.26,-610597.59,3.26
0.26,-610601.36,3.26
0.26,-610603.54,3.26
0.25,-610611.08,3.26
0.25,-610625.83,3.26
0.26,-610661.8,3.26
0.26,-610671.44,3.26
0.26,-610711.27,3.26
0.26,-610721.11,3.26
0.25,-610737.49,3.26
0.25,-610824.01,3.26
0.24,-610872.12,3.26
0.26,-610982.73,3.26
0.24,-610985.21,3.26
0.24,-610999.19,3.26
0.26,-611008.02,3.26
0.26,-611066.16,3.26
0.26,-611079.27,3.26
0.24,-611112.39,3.26
0.27,-611162.16,3.26
0.24,-611189.33,3.26
0.27,-611225.59,3.26
0.27,-611233.4,3.26
0.24,-611287.02,3.26
0.24,-611373.8,3.26
0.24,-611464.42,3.26
0.27,-611605.43,3.26
0.27,-611609.14,3.26
0.27,-611624.13,3.26
0.27,-611634.46,3.26
0.24,-611675.21,3.26
0.24,-611717.58,3.26
0.24,-611780.64,3.26
0.27,-611801.73,3.26
0.24,-611851.52,3.26
0.27,-611897.54,3.26
0.27,-611929.81,3.26
0.24,-611956.96,3.26
0.24,-612027.61,3.26
0.24,-612094.08,3.26
0.23,-612200.57,3.26
0.23,-612419.81,3.26
0.23,-612688.67,3.26
0.28,-612727.75,3.26
0.23,-612771.87,3.26
0.28,-612793.5,3.26
0.23,-612979.28,3.26
0.28,-613148.68,3.26
0.28,-613184.63,3.26
0.23,-613498.78,3.26
0.23,-613548.3,3.26
0.23,-613745.68,3.26
0.28,-614042.04,3.26
0.23,-614222.05,3.26
0.22,-614384.34,3.26
0.22,-614513.93,3.26
0.29,-614968.68,3.26
0.29,-614990.09,3.26
0.22,-615487.85,3.26
0.29,-615579.26,3.26
0.29,-615746.42,3.26
0.29,-616294.07,3.26
0.22,-616372.78,3.26
0.22,-616627.79,3.26
0.22,-616899.73,3.26
0.29,-616962.6,3.26
0.22,-617025.39,3.26
0.22,-617182.1,3.26
0.21,-617413.33,3.26
0.29,-617432.83,3.26
0.29,-617540.26,3.26
0.29,-617563.84,3.26
0.21,-617773.79,3.26
0.29,-617834.41,3.26
0.21,-617861.39,3.26
0.3,-618291.6,3.26
0.3,-618691.82,3.26
0.21,-618700.47,3.26
0.21,-618784.09,3.26
0.21,-619139.56,3.26
0.21,-619752.77,3.26
0.3,-620129.4,3.26
0.21,-620471.68,3.26
0.3,-620493.96,3.26
0.21,-620573.27,3.26
0.3,-620636.37,3.26
0.21,-620667.68,3.26
0.3,-620765.77,3.26
0.3,-620848.16,3.26
0.3,-620967.53,3.26
0.3,-621207.36,3.26
0.2,-621368.94,3.26
0.2,-621443.13,3.26
0.2,-621506.69,3.26
0.3,-621540.06,3.26
0.2,-622044.06,3.26
0.3,-622183.64,3.26
0.2,-622219.94,3.26
0.2,-622385.81,3.26
0.2,-622412.26,3.26
0.31,-622418.21,3.26
0.2,-622443.99,3.26
0.2,-622675.86,3.26
0.2,-623641.77,3.26
0.2,-623955.29,3.26
0.2,-624007.18,3.26
0.31,-624106.51,3.26
0.2,-624366.53,3.26
0.31,-625035.37,3.26
0.2,-625123.38,3.26
0.31,-625266.97,3.26
0.19,-626209.81,3.26
0.19,-626970.65,3.26
0.19,-627067.96,3.26
0.31,-627151.84,3.26
0.31,-627283.75,3.26
0.19,-627766.45,3.26
0.19,-627803.92,3.26
0.32,-628041.08,3.26
0.19,-628105.7,3.26
0.32,-628344.49,3.26
0.19,-628517.81,3.26
0.19,-629016.0,3.26
0.19,-630124.86,3.26
0.19,-630281.01,3.26
0.19,-630513.66,3.26
0.32,-631448.63,3.26
0.32,-631943.8,3.26
0.32,-631974.88,3.26
0.32,-632683.66,3.26
0.33,-633322.15,3.26
0.18,-634156.33,3.26
0.18,-634160.93,3.26
0.33,-634228.39,3.26
0.18,-634647.79,3.26
0.18,-634902.13,3.26
0.18,-635264.47,3.26
0.33,-635745.49,3.26
0.18,-635809.94,3.26
0.33,-635937.09,3.26
0.33,-636019.0,3.26
0.18,-636049.55,3.26
0.18,-636244.91,3.26
0.33,-636341.33,3.26
0.33,-636451.07,3.26
0.33,-636463.23,3.26
0.18,-636696.92,3.26
0.33,-636988.88,3.26
0.18,-637179.27,3.26
0.33,-637217.76,3.26
0.33,-637234.55,3.26
0.18,-637257.21,3.26
0.33,-637468.03,3.26
0.33,-637591.63,3.26
0.33,-637884.43,3.26
0.33,-637901.18,3.26
0.18,-638219.86,3.26
0.33,-638558.07,3.26
0.33,-638768.86,3.26
0.17,-638799.83,3.26
0.33,-638904.83,3.26
0.33,-639387.56,3.26
0.33,-639391.25,3.26
0.17,-639769.67,3.26
0.17,-640052.39,3.26
0.17,-640370.56,3.26
0.34,-640421.79,3.26
0.34,-641010.75,3.26
0.17,-641036.59,3.26
0.17,-641216.82,3.26
0.17,-641624.16,3.26
0.17,-642064.58,3.26
0.17,-642260.57,3.26
0.17,-642602.3,3.26
0.17,-642731.29,3.26
0.17,-643121.5,3.26
0.34,-643225.61,3.26
0.34,-643329.68,3.26
0.34,-643697.89,3.26
0.17,-643745.83,3.26
0.17,-643775.73,3.26
0.34,-644189.1,3.26
0.34,-644298.81,3.26
