Snow ratio,Log likelihood,Error std
0.21,-2660609.02,1.52
0.21,-2660617.94,1.52
0.21,-2660625.95,1.52
0.21,-2660635.3,1.52
0.21,-2660649.23,1.52
0.21,-2660668.01,1.52
0.21,-2660757.03,1.52
0.21,-2660763.13,1.52
0.21,-2660827.23,1.52
0.21,-2660900.53,1.52
0.21,-2660975.84,1.52
0.21,-2661252.42,1.52
0.2,-2661305.54,1.52
0.21,-2661309.94,1.52
0.21,-2661347.69,1.52
0.22,-2661433.06,1.52
0.2,-2661464.97,1.52
0.22,-2661589.52,1.52
0.2,-2661613.9,1.52
0.22,-2661654.11,1.52
0.22,-2662016.33,1.52
0.2,-2662025.03,1.52
0.2,-2662100.99,1.52
0.22,-2662303.81,1.52
0.22,-2662401.62,1.52
0.2,-2662410.63,1.52
0.22,-2662735.28,1.52
0.22,-2662890.4,1.52
0.2,-2663391.52,1.52
0.22,-2663839.14,1.52
0.2,-2663847.19,1.52
0.2,-2663865.32,1.52
0.19,-2664521.82,1.52
0.19,-2664723.2,1.52
0.22,-2664997.57,1.52
0.19,-2665263.21,1.52
0.22,-2665672.45,1.52
0.22,-2666064.36,1.52
0.23,-2666457.42,1.52
0.23,-2666648.14,1.52
0.23,-2667178.42,1.52
0.23,-2668056.95,1.52
0.23,-2668660.96,1.52
0.19,-2669613.95,1.52
0.19,-2670149.98,1.52
0.23,-2670433.94,1.52
0.23,-2672029.4,1.52
0.18,-2672232.84,1.52
0.23,-2672447.99,1.52
0.18,-2674199.19,1.52
0.23,-2674399.25,1.52
0.24,-2675109.53,1.52
0.18,-2676394.93,1.52
0.24,-2676839.8,1.52
0.18,-2677097.12,1.52
0.24,-2677171.88,1.52
0.18,-2678121.52,1.52
0.24,-2679554.59,1.52
0.18,-2680457.12,1.52
0.18,-2680645.31,1.52
0.24,-2681433.64,1.52
0.24,-2681609.15,1.52
0.24,-2682663.33,1.52
0.24,-2684318.49,1.52
0.24,-2685178.04,1.52
0.24,-2685233.3,1.52
0.17,-2685680.62,1.52
0.24,-2685686.31,1.52
0.24,-2685702.81,1.52
0.17,-2686380.83,1.52
0.17,-2687493.52,1.52
0.17,-2688806.31,1.52
0.25,-2691384.42,1.52
0.25,-2691648.94,1.52
0.17,-2695735.38,1.52
0.25,-2696233.76,1.52
0.25,-2697979.61,1.52
0.17,-2698547.74,1.52
0.25,-2698863.63,1.52
0.25,-2699033.79,1.52
0.25,-2699288.29,1.52
0.16,-2700540.8,1.52
0.16,-2701719.58,1.52
0.16,-2702005.64,1.52
0.16,-2703277.48,1.52
0.25,-2704044.03,1.52
0.16,-2705153.24,1.52
0.16,-2705628.5,1.52
0.26,-2705858.0,1.52
0.16,-2710758.48,1.52
0.16,-2711798.07,1.52
0.16,-2713382.39,1.52
0.16,-2715969.29,1.52
0.26,-2716478.88,1.52
0.16,-2717266.72,1.52
0.26,-2717902.82,1.52
0.16,-2718146.01,1.52
0.26,-2719165.84,1.52
0.26,-2720085.0,1.52
0.15,-2720430.5,1.52
0.15,-2722033.76,1.52
0.26,-2723453.98,1.52
0.15,-2724298.99,1.52
0.15,-2724462.49,1.52
0.15,-2724523.27,1.52
0.15,-2727414.48,1.52
0.15,-2729553.91,1.52
0.15,-2730874.5,1.52
0.15,-2733290.53,1.52
0.15,-2734903.04,1.52
0.27,-2736239.47,1.52
0.27,-2737271.62,1.52
0.27,-2737749.54,1.52
0.27,-2738740.81,1.52
0.27,-2740272.01,1.52
0.15,-2740884.72,1.52
0.27,-2741802.33,1.52
0.15,-2742856.61,1.52
0.14,-2745295.49,1.52
0.14,-2746073.99,1.52
0.14,-2748424.87,1.52
0.27,-2749195.6,1.52
0.14,-2751935.07,1.52
0.14,-2753181.3,1.52
0.14,-2753601.98,1.52
0.14,-2754146.52,1.52
0.28,-2754522.73,1.52
0.28,-2754597.87,1.52
0.14,-2754676.16,1.52
0.14,-2755370.82,1.52
0.28,-2758857.41,1.52
0.28,-2759617.96,1.52
0.28,-2763357.37,1.52
0.14,-2765030.49,1.52
0.28,-2767131.57,1.52
0.14,-2767659.54,1.52
0.13,-2773693.01,1.52
0.13,-2773935.76,1.52
0.13,-2774097.06,1.52
